Kabupaten/Kota,Produksi_Buah-Buahan_(Kuintal),,,,,,,,,,,,,,,,,,,,
,Mangga,,,Durian,,,Jeruk,,,Pisang,,,Pepaya,,,Nanas,,,Salak,,
,2015,2016,2017,2015,2016,2017,2015,2016,2017,2015,2016,2017,2015,2016,2017,2015,2016,2017,2015,2016,2017
Ogan_Komering_Ulu,3577,1466,4364,51333,3777,7193,34136,18735,94050,22398,21984,27529,22820,24668,31869,3263,3170,3342,-,-,-
Ogan_Komering_Ilir,35871,16873,26596,15404,1865,17958,18440,30387,170311,79664,109180,143531,9426,20754,22172,1869,1252,8080,-,-,-
Muara_Enim,15009,5745,6734,47643,9709,10872,2615,9224,17561,57592,249869,112892,3957,9120,5970,164808,162793,156843,-,-,-
Lahat,17038,9235,6839,21940,14744,8021,963,749,760,15479,13957,10556,26174,15950,19037,367,105,104,-,-,-
Musi_Rawas,9944,7784,9347,37584,32205,33526,48610,24428,38910,42185,51002,63157,9590,11673,9638,11209,26715,28703,-,-,-
Musi_Banyuasin,4737,3018,4201,13106,2289,6928,2986,3278,3108,33308,29213,44687,2312,2310,3566,652,696,540,-,-,-
Banyuasin,6625,4826,6415,1493,2186,1896,18498,16328,35054,19434,23568,40141,2640,3021,3282,5396,16216,13851,-,-,-
Ogan_Komering_Ulu_Selatan,3762,635,8523,57249,19819,61867,12839,1851,5098,155350,60499,148010,3028,1967,4546,10,0,0,-,-,-
Ogan_Komering_Ulu_Timur,15045,19992,17766,40861,3031,25977,5486,18200,19152,1118323,273815,518475,70848,88935,69119,329,221,178,-,-,-
Ogan_Ilir,3465,3238,5636,2006,87,873,5620,7571,5767,22721,29226,39779,9189,11586,13125,320379,299374,816106,-,-,-
Empat_Lawang,12743,14804,6472,9860,22468,2156,9479,18778,10863,2659,4624,5076,1810,1368,3558,26,29,27,-,-,-
Pali,0,160,707,0,27,271,0,40,260,1195,771,5943,101,40,103,440,350,3540,-,-,-
Musi_Rawas_Utara,550,2407,393,6267,1419,965,1323,2380,3183,5027,5967,11226,2419,1259,2457,258,87,134,-,-,-
Palembang,7831,5933,5330,2045,1068,1673,4458,3035,2089,13925,7240,2786,6712,1964,1001,99,49,32,-,-,-
Prabumulih,947,643,521,926,406,155,337,279,228,4250,3328,3282,230,311,253,65846,61509,59229,-,-,-
Pagar_Alam,6060,10226,8853,4771,10320,16126,372,2993,5070,1346,3610,4191,1125,4635,3305,0,0,0,-,-,-
Lubuk_Linggau,2365,4545,1772,13118,16634,2839,33,2,18,7008,32124,1506,677,2578,934,260,348,3,-,-,-
Sumatera_Selatan,145569,111530,120469,325606,142054,199296,166195,158258,411482,1601864,919977,1182767,173058,202139,193935,575211,572914,1090712,-,-,-
"Sumber:BPS,_Statistik_Pertanian_Hortikultura_SPH-BST",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Source_Url:_https://sumsel.bps.go.id/indicator/55/412/2/produksi-buah-buahan.html,,,,,,,,,,,,,,,,,,,,,
"Access_Time:_November_1,_2021,_8:51_pm",,,,,,,,,,,,,,,,,,,,,
