Kabupaten/Kota,Produksi_Daging_Unggas_(kg),,,,,,,,,,,
,Ayam_Kampung,,,Ayam_Petelur,,,Ayam_Pedaging,,,Itik/Itik_Manila,,
,2015,2016,2017,2015,2016,2017,2015,2016,2017,2015,2016,2017
Ogan_Komering_Ulu,111753.00,142314.00,185515.00,8712.00,24539.00,23014.00,141720.00,125722.00,118172.00,11341.00,10932.00,16228.00
Ogan_Komering_Ilir,478925.00,302125.00,306814.00,20001.00,16241.00,16480.00,1371643.00,1502130.00,1521734.00,153309.00,71007.00,72024.00
Muara_Enim,1874286.00,1875117.00,2968376.00,306880.00,223390.00,405743.00,7214243.00,7214243.00,2897413.00,175388.00,191610.00,109085.00
Lahat,128219.00,132064.00,237380.00,-,-,165.00,1855787.00,1911462.00,2900061.00,63344.00,65195.00,18543.00
Musi_Rawas,991197.00,1080401.00,1177637.00,-,-,1452.00,2338446.00,2447271.00,2569635.00,289045.00,317947.00,349741.00
Musi_Banyuasin,510665.00,516011.00,538132.00,182.00,1815.00,3801.00,604203.00,582464.00,485975.00,56340.00,56749.00,56222.00
Banyuasin,2142206.00,2356427.00,2401216.00,3737448.00,3871613.00,3949055.00,12161506.00,13377657.00,13605084.00,197116.00,216823.00,219990.00
Ogan_Komering_Ulu_Selatan,361625.00,317533.00,349286.00,7260.00,7260.00,5082.00,195261.00,1072634.00,976305.00,33341.00,60847.00,63889.00
Ogan_Komering_Ulu_Timur,694914.00,729655.00,782222.00,2541.00,2672.00,8639.00,234352.00,361558.00,397031.00,177284.00,198637.00,161536.00
Ogan_Ilir,1020928.00,1022267.00,1026957.00,43560.00,58806.00,63162.00,869562.00,889088.00,890390.00,615278.00,624360.00,632306.00
Empat_Lawang,12514.00,7623.00,7573.00,1887.00,4051.00,2186.00,7160.00,3385.00,43831.00,9626.00,9865.00,9868.00
Pali,8307.00,70661.00,73341.00,-,-,-,3906.00,377505.00,416557.00,5904.00,28471.00,28494.00
Musi_Rawas_Utara,231316.00,379110.00,279998.00,-,10585.00,-,283128.00,293178.00,320619.00,47315.00,53888.00,45923.00
Palembang,870093.00,870307.00,871861.00,328900.00,353881.00,283140.00,4751351.00,5044138.00,5013001.00,72051.00,72108.00,59057.00
Prabumulih,29074.00,31338.00,37112.00,152460.00,72600.00,94380.00,1041392.00,1040871.00,976305.00,4654.00,4813.00,12975.00
Pagar_Alam,82545.00,82545.00,88330.00,-,-,-,23431.00,23431.00,118458.00,11023.00,11023.00,3386.00
Lubuk_Linggau,58857.00,33267.00,35558.00,-,-,290.00,221296.00,89820.00,97631.00,31422.00,18504.00,16247.00
Sumatera_Selatan,9607424.00,9948765.00,11367311.00,4609831.00,4647453.00,4856590.00,33318387.00,36356557.00,33348199.00,1953781.00,2012779.00,1875515.00
Sumber:Dinas_Peternakan_Provinsi_Sumatera_Selatan,,,,,,,,,,,,
,,,,,,,,,,,,
Source_Url:_https://sumsel.bps.go.id/indicator/24/429/2/produksi-daging-unggas.html,,,,,,,,,,,,
"Access_Time:_November_1,_2021,_8:44_pm",,,,,,,,,,,,
