Kabupaten/Kota,Produksi_Palawija_(Ton),,,,,,,,,,,,,,,,,
,Jagung,,,Kedelai,,,Kacang_Tanah,,,Kacang_Hijau,,,Ubi_Kayu,,,Ubi_Jalar,,
,2017,2018,2019,2017,2018,2019,2017,2018,2019,2017,2018,2019,2017,2018,2019,2017,2018,2019
Ogan_Komering_Ulu,53934.00,104753.00,73985.00,0.00,256.00,2013.00,16.00,4.00,6.00,15.00,1.00,0.00,16778.00,2480.00,2393.00,38.00,10.00,18.00
Ogan_Komering_Ilir,44464.00,25130.00,9657.00,197.00,23.00,26.00,91.00,161.00,107.00,47.00,0.00,0.00,47398.00,19873.00,19940.00,1013.00,1307.00,1503.00
Muara_Enim,6284.00,11607.00,5940.00,107.00,125.00,53.00,359.00,169.00,212.00,146.00,60.00,37.00,24116.00,12115.00,20039.00,782.00,1636.00,1546.00
Lahat,77495.00,8467.00,5607.00,2202.00,421.00,837.00,173.00,209.00,201.00,88.00,62.00,11.00,2984.00,2293.00,2383.00,2571.00,2470.00,2062.00
Musi_Rawas,53874.00,57373.00,32030.00,7540.00,4938.00,9816.00,138.00,185.00,216.00,77.00,45.00,29.30,212623.00,50735.00,30117.00,540.00,1453.00,1294.00
Musi_Banyuasin,57954.00,45993.00,52531.00,69.00,15.00,1.00,146.00,164.00,110.00,76.00,14.00,2.00,85083.00,26313.00,30338.00,2824.00,3667.00,2578.00
Banyuasin,142521.00,128443.00,65293.00,163.00,1.00,0.00,65.00,64.00,87.00,34.00,4.00,5.00,70572.00,65130.00,27880.00,1206.00,2442.00,2752.00
Ogan_Komering_Ulu_Selatan,242376.00,392258.00,395703.00,0.00,361.00,1242.00,107.00,103.00,147.00,1.00,0.00,0.00,1878.00,1144.00,791.00,129.00,277.00,163.00
Ogan_Komering_Ulu_Timur,170666.00,214109.00,193372.00,484.00,7082.00,496.00,1674.00,837.00,3248.00,198.00,12.00,9.00,20836.00,15955.00,20363.00,1228.00,1544.00,2639.00
Ogan_Ilir,2346.00,12075.00,2584.00,0.00,485.00,0.00,93.00,71.00,58.00,7.00,0.00,0.00,19967.00,9933.00,6332.00,344.00,241.00,289.00
Empat_Lawang,13392.00,20140.00,12771.00,6.00,4.00,0.00,18.00,6.00,14.00,0.00,0.00,0.00,253.00,306.00,139.00,14.00,138.00,21.00
Pali,10268.00,4667.00,3395.00,0.00,336.00,381.00,86.00,22.00,482.00,247.00,11.00,1.00,21073.00,8750.00,5785.00,0.00,322.00,0.00
Musi_Rawas_Utara,5632.00,3018.00,3576.00,300.00,389.00,412.00,36.00,9.00,14.00,15.00,8.00,9.00,1793.00,1311.00,1883.00,124.00,81.00,67.00
Palembang,71.00,522.00,86.00,0.00,5.00,0.00,5.00,7.00,18.00,0.00,0.00,0.00,1199.00,974.00,1720.00,127.00,136.00,214.00
Prabumulih,3867.00,3413.00,218.00,0.00,0.00,130.00,3.00,0.00,16.00,0.00,0.00,0.00,4122.00,5124.00,3940.00,192.00,176.00,61.00
Pagar_Alam,2068.00,3008.00,706.00,218.00,226.00,0.00,98.00,128.00,131.00,0.00,0.00,0.00,5411.00,2762.00,2207.00,2231.00,1791.00,1796.00
Lubuk_Linggau,5146.00,3622.00,2392.00,506.00,582.00,615.00,5.00,2.00,23.00,1.00,1.00,1.00,2923.00,644.00,491.00,66.00,46.00,66.00
Sumatera_Selatan,892358.00,1038598.00,859846.00,11792.00,15249.00,16022.00,3113.00,2141.00,5090.00,951.00,218.00,105.00,539009.00,225842.00,176741.00,13429.00,17737.00,17069.00
"Sumber:Luas_panen_dari_dinas_pertanian_melalui_laporan_statistik_pertanian_tanaman_pangan,_palawija._Produktivitas_dari_survei_ubinan_tanaman_pangan",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Source_Url:_https://sumsel.bps.go.id/indicator/53/400/1/produksi-palawija.html,,,,,,,,,,,,,,,,,,
"Access_Time:_November_1,_2021,_8:25_pm",,,,,,,,,,,,,,,,,,
