Kabupaten/Kota,Produksi_Perikanan_Budidaya_(Ton),,,,,,,,,,,,,,,,,,,,,,,
,Kolam_Air_Tawar,,,Kolam_Air_Deras,,,Sawah,,,Keramba,,,Jaring_Apung,,,Sistem_Pen,,,Tambak,,,Jumlah,,
,2014,2017,2018,2014,2017,2018,2014,2017,2018,2014,2017,2018,2014,2017,2018,2014,2017,2018,2014,2017,2018,2014,2017,2018
Ogan_Komering_Ulu,17799.30,415.00,385.00,0.00,-,-,1092.40,-,-,7346.80,249.00,31.00,0.00,-,-,0.00,-,-,0.00,3.00,-,26238.50,667.00,416.00
Ogan_Komering_Ilir,10021.30,129.00,2522.00,0.00,-,-,1455.60,-,-,20165.80,91920.00,8704.00,66.10,-,-,5740.20,427.00,-,49988.50,56036.00,59867.00,87437.50,148512.00,71093.00
Muara_Enim,10621.00,211224.00,2190.00,105.00,-,-,656.60,-,1170.00,2574.10,293.00,1604.00,0.00,-,-,0.00,-,-,0.00,-,-,13956.70,211517.00,4964.00
Lahat,13826.70,1800.00,28.00,5665.30,6.00,-,857.40,-,2.00,6111.60,60.00,-,0.00,450.00,2.00,0.00,192.00,3.00,0.00,-,-,26461.00,2509.00,35.00
Musi_Rawas,36126.40,12420.00,32424.00,13818.10,970.00,12832.00,1581.80,-,25052.00,5641.80,2504.00,26.00,178.20,-,-,0.00,-,-,0.00,-,-,57346.30,15894.00,70334.00
Musi_Banyuasin,16299.80,62233.00,48153.00,0.00,-,-,305.60,-,-,9000.90,4303.00,31312.00,0.00,-,-,14816.40,-,-,104.00,42.00,558.00,40526.70,66578.00,80023.00
Banyuasin,32627.80,614.00,18690.00,0.00,-,-,320.80,-,1987.00,3684.80,13040.00,100.00,4009.50,-,-,3703.90,4084.00,2310.00,2989.50,4394.00,17371.00,47336.30,22132.00,40458.00
Ogan_Komering_Ulu_Selatan,15060.20,35958.00,315.00,0.00,-,22.00,595.70,-,6.00,14037.40,43.00,-,0.00,-,200.00,11113.60,10308.00,280.00,0.00,-,-,40806.90,46308.00,823.00
Ogan_Komering_Ulu_Timur,25807.00,4772.00,44349.00,4178.00,-,-,2169.00,10.00,538.00,14128.70,429.00,70.00,0.00,-,-,0.00,1.00,-,0.00,-,-,46282.70,5212.00,44957.00
Ogan_Ilir,12362.90,1895.00,2449.00,0.00,-,-,1224.60,-,-,2123.20,2063.00,3059.00,0.00,92.00,2453.00,16681.70,1154.00,6.00,0.00,-,-,32392.40,5204.00,7967.00
Empat_Lawang,2835.50,3705.00,416.00,0.00,73.00,-,1056.70,-,-,1530.40,40.00,-,0.00,-,-,0.00,-,-,0.00,-,-,5422.60,3818.00,416.00
Pali,-,-,173.00,-,-,-,-,-,-,-,-,41.00,-,-,37.00,-,-,-,-,-,-,-,-,251.00
Musi_Rawas_Utara,-,-,4566.00,-,-,523.00,-,-,1000.00,-,10.00,123.00,-,-,-,-,-,-,-,-,-,-,10.00,6212.00
Palembang,13799.70,-,56305.00,0.00,-,-,223.70,-,-,6512.50,100.00,1994.00,3723.50,-,-,0.00,-,3195.00,0.00,-,-,24259.40,100.00,61494.00
Prabumulih,3132.00,1211.00,603.00,0.00,-,-,175.20,-,-,1756.60,-,-,0.00,-,-,0.00,-,-,0.00,-,-,5063.80,1211.00,603.00
Pagar_Alam,4241.00,3705.00,18231.00,6060.20,-,302.00,906.40,-,13500.00,4995.10,40.00,8.00,0.00,-,-,0.00,-,-,0.00,-,-,16202.70,3745.00,32041.00
Lubuk_Linggau,7308.00,4864.00,7021.00,9179.30,-,9813.00,339.00,-,138.00,639.20,-,-,0.00,-,-,0.00,-,-,0.00,-,-,17465.50,4864.00,16972.00
Sumatera_Selatan,221868.60,344946.00,238820.00,39005.90,1050.00,23492.00,12960.50,10.00,43392.00,100248.90,115094.00,47073.00,7977.30,542.00,2691.00,52055.80,16165.00,5794.00,53082.00,60475.00,77796.00,487199.00,538282.00,439058.00
Sumber:Dinas_Kelautan_dan_Perikanan_Provinsi_Sumatera_Selatan,,,,,,,,,,,,,,,,,,,,,,,,

Source_Url:_https://sumsel.bps.go.id/indicator/56/446/1/produksi-perikanan-budidaya-.html,,,,,,,,,,,,,,,,,,,,,,,,
"Access_Time:_November_1,_2021,_8:37_pm",,,,,,,,,,,,,,,,,,,,,,,,
