Kabupaten/Kota,Produksi_Tanaman_Perkebunan_(Ribu_Ton),,,,,,,,,,,,,,,,,,,,
,Karet,,,Kelapa,,,Kelapa_Sawit,,,Kopi,,,Lada,,,Kakao,,,Lainnya,,
,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020,2018,2019,2020
Ogan_Komering_Ulu,43315.00,43315.00,68338.00,196.00,196.00,274.00,115828.00,113200.00,113592.00,15812.00,15812.00,20709.00,329.00,329.00,-,52.00,-,44.00,236.00,236.00,-
Ogan_Komering_Ilir,150895.40,143429.00,143429.00,1156.00,1425.00,1384.00,737305.00,543452.00,412720.00,347.00,335.00,331.00,9.00,9.00,-,58.00,58.00,92.00,67.00,67.00,-
Muara_Enim,167824.00,167656.00,169668.00,1176.00,1174.00,1174.00,267048.00,221994.00,222054.00,25623.00,26038.00,26309.00,551.00,551.00,-,99.00,99.00,99.00,62.00,60.00,-
Lahat,26732.60,26195.00,26000.00,325.00,315.00,325.00,188525.00,165105.00,165105.00,21601.00,18625.00,21600.00,135.00,130.00,-,2280.00,2105.00,2105.00,23.00,17.00,17.00
Musi_Rawas,124433.00,124433.00,125057.00,1766.00,1807.00,1800.00,513780.00,418345.00,419051.00,2585.00,2539.00,2629.00,-,-,-,114.00,118.00,138.00,98.00,96.00,-
Musi_Banyuasin,160430.60,155303.00,213466.00,3171.00,3243.00,3276.00,1694823.00,1263030.00,939384.00,5.00,2.00,-,-,-,-,3.00,3.00,4.00,270.00,270.00,-
Banyuasin,113829.00,100281.00,103024.00,44248.00,44248.00,46496.00,610572.00,563702.00,568893.00,724.00,724.00,724.00,-,-,-,36.00,37.00,37.00,-,-,-
Ogan_Komering_Ulu_Selatan,18969.20,3914.00,3812.00,923.00,928.00,809.00,276.00,138.00,158.00,48523.00,49180.00,49458.00,2720.00,2720.00,-,631.00,634.00,563.00,713.00,535.00,51.00
Ogan_Komering_Ulu_Timur,37500.00,687.00,687.00,3246.00,886.00,886.00,89965.00,79078.00,50893.00,2098.00,2042.00,2042.00,2379.00,2983.00,-,427.00,426.00,426.00,16395.18,16084.00,15780.00
Ogan_Ilir,33206.00,33206.00,33206.00,262.00,261.00,261.00,35771.00,28948.00,28948.00,-,-,-,-,-,-,-,-,-,62991.52,75209.00,62345.00
Empat_Lawang,12479.00,4992.00,3743.00,124.00,124.00,124.00,37094.50,27044.00,6538.00,44841.00,53592.00,53592.00,1873.00,1873.00,-,250.00,222.00,340.00,2288.23,2288.23,-
Pali,80460.00,80460.00,68391.00,301.00,301.00,301.00,119111.00,118751.00,118751.00,-,-,-,-,-,-,-,-,-,1.00,-,-
Musi_Rawas_Utara,133076.00,-,141105.00,360.00,360.00,360.00,319593.00,281873.00,283606.00,180.00,184.00,184.00,-,-,-,21.00,25.00,25.00,97.00,208.00,-
Palembang,550.00,550.00,541.00,14.80,13.00,11.00,548.00,274.00,274.00,-,-,-,-,-,-,-,-,-,5.00,4.00,-
Prabumulih,11787.00,11787.00,11512.00,36.00,37.00,37.00,3184.00,1592.00,1592.00,-,-,-,-,-,-,-,-,-,8.00,8.00,-
Pagar_Alam,520.00,520.00,515.00,4.00,4.00,5.00,-,-,30.00,21459.00,11500.00,12782.00,112.00,82.00,-,133.00,216.00,294.00,3421.95,4390.00,4348.00
Lubuk_Linggau,9049.40,9061.00,9109.00,24.00,45.00,47.00,516.00,258.00,287.00,368.00,721.00,721.00,-,-,-,-,-,-,14.00,36.00,-
Sumatera_Selatan,1125056.20,905789.00,1121603.00,57332.80,55367.00,57570.00,4733939.50,3826784.00,3331876.00,184166.00,181294.00,191081.00,8108.00,8677.00,-,4104.00,3943.00,4167.00,86690.88,99508.23,82541.00
Sumber:Dinas_Perkebunan_Provinsi_Sumatera_Selatan,,,,,,,,,,,,,,,,,,,,,

Source_Url:_https://sumsel.bps.go.id/indicator/54/416/1/produksi-tanaman-perkebunan.html,,,,,,,,,,,,,,,,,,,,,
"Access_Time:_November_1,_2021,_8:39_pm",,,,,,,,,,,,,,,,,,,,,
