Kabupaten/Kota,Produksi_Telur_Unggas_Menurut_Kabupaten/Kota_dan_Jenis_Unggas_(Ton),,
,Ayam_Kampung,Ayam_Petelur,Itik/Itik_Manila
,2017,2017,2017
Ogan_Komering_Ulu,85862.00,280784.00,61754.00
Ogan_Komering_Ilir,142003.00,201066.00,274087.00
Muara_Enim,1373854.00,4950252.00,415122.00
Lahat,109867.00,2011.00,70567.00
Musi_Rawas,545046.00,17715.00,1330940.00
Musi_Banyuasin,249064.00,46369.00,213952.00
Banyuasin,1111356.00,48180269.00,837173.00
Ogan_Komering_Ulu_Selatan,161660.00,62003.00,243130.00
Ogan_Komering_Ulu_Timur,362036.00,105405.00,614723.00
Ogan_Ilir,475307.00,770605.00,2406240.00
Empat_Lawang,3505.00,26670.00,37554.00
Pali,33944.00,-,108432.00
Musi_Rawas_Utara,129592.00,-,174761.00
Palembang,403524.00,3454437.00,224739.00
Prabumulih,17177.00,1151479.00,49378.00
Pagar_Alam,40882.00,-,12887.00
Lubuk_Linggau,16457.00,3543.00,61828.00
Sumatera_Selatan,5261136.00,59252608.00,7137267.00
Sumber:_Dinas_Ketahanan_Pangan_dan_Peternakan_Provinsi_Sumatera_Selatan,,,

Source_Url:_https://sumsel.bps.go.id/indicator/24/853/2/produksi-telur-unggas-menurut-kabupaten-kota-dan-jenis-unggas.html,,,
"Access_Time:_November_1,_2021,_8:43_pm",,,
