Kabupaten/Kota,kelompok,jenis,satuan,2015,2016,2017,2018,2019,2020
Ogan_Komering_Ulu,Buah-Buahan,Salak,Kuintal,3577.0,1466.0,4364.0,8251.0,6748.0,3975.0
Ogan_Komering_Ilir,Buah-Buahan,Salak,Kuintal,35871.0,16873.0,26596.0,76796.0,96568.0,19176.0
Muara_Enim,Buah-Buahan,Salak,Kuintal,15009.0,5745.0,6734.0,9651.0,13017.0,4183.0
Lahat,Buah-Buahan,Salak,Kuintal,17038.0,9235.0,6839.0,16372.0,18590.0,20729.0
Musi_Rawas,Buah-Buahan,Salak,Kuintal,9944.0,7784.0,9347.0,13901.0,16108.0,13205.0
Musi_Banyuasin,Buah-Buahan,Salak,Kuintal,4737.0,3018.0,4201.0,13639.0,9399.0,7023.0
Banyuasin,Buah-Buahan,Salak,Kuintal,6625.0,4826.0,6415.0,12553.0,5410.0,7409.0
Ogan_Komering_Ulu_Selatan,Buah-Buahan,Salak,Kuintal,3762.0,635.0,8523.0,4329.0,9696.0,6578.0
Ogan_Komering_Ulu_Timur,Buah-Buahan,Salak,Kuintal,15045.0,19992.0,17766.0,49115.0,37235.0,23647.0
Ogan_Ilir,Buah-Buahan,Salak,Kuintal,3465.0,3238.0,5636.0,3952.0,4690.0,4409.0
Empat_Lawang,Buah-Buahan,Salak,Kuintal,12743.0,14804.0,6472.0,11899.0,3304.0,2162.0
Pali,Buah-Buahan,Salak,Kuintal,0.0,160.0,707.0,2167.0,986.0,1546.0
Musi_Rawas_Utara,Buah-Buahan,Salak,Kuintal,550.0,2407.0,393.0,1347.0,5795.0,2486.0
Palembang,Buah-Buahan,Salak,Kuintal,7831.0,5933.0,5330.0,5944.0,3294.0,3594.0
Prabumulih,Buah-Buahan,Salak,Kuintal,947.0,643.0,521.0,594.0,1368.0,3558.0
Pagar_Alam,Buah-Buahan,Salak,Kuintal,6060.0,10226.0,8853.0,9502.0,2400.0,2789.0
Lubuk_Linggau,Buah-Buahan,Salak,Kuintal,2365.0,4545.0,1772.0,1654.0,2987.0,1380.0
Sumatera_Selatan,Buah-Buahan,Salak,Kuintal,145569.0,111530.0,120469.0,241666.0,237595.0,127850.0
Ogan_Komering_Ulu,Buah-Buahan,Mangga,Kuintal,51333.0,3777.0,7193.0,35238.0,19075.0,13555.0
Ogan_Komering_Ilir,Buah-Buahan,Mangga,Kuintal,15404.0,1865.0,17958.0,59768.0,13097.0,4269.0
Muara_Enim,Buah-Buahan,Mangga,Kuintal,47643.0,9709.0,10872.0,34878.0,60336.0,12459.0
Lahat,Buah-Buahan,Mangga,Kuintal,21940.0,14744.0,8021.0,41819.0,9532.0,24752.0
Musi_Rawas,Buah-Buahan,Mangga,Kuintal,37584.0,32205.0,33526.0,53421.0,58559.0,62427.0
Musi_Banyuasin,Buah-Buahan,Mangga,Kuintal,13106.0,2289.0,6928.0,41248.0,0.0,12027.0
Banyuasin,Buah-Buahan,Mangga,Kuintal,1493.0,2186.0,1896.0,4144.0,2895.0,1771.0
Ogan_Komering_Ulu_Selatan,Buah-Buahan,Mangga,Kuintal,57249.0,19819.0,61867.0,124679.0,103932.0,90408.0
Ogan_Komering_Ulu_Timur,Buah-Buahan,Mangga,Kuintal,40861.0,3031.0,25977.0,40151.0,92796.0,49946.0
Ogan_Ilir,Buah-Buahan,Mangga,Kuintal,2006.0,87.0,873.0,3574.0,9864.0,1259.0
Empat_Lawang,Buah-Buahan,Mangga,Kuintal,9860.0,22468.0,2156.0,84278.0,6384.0,8016.0
Pali,Buah-Buahan,Mangga,Kuintal,0.0,27.0,271.0,757.0,835.0,1145.0
Musi_Rawas_Utara,Buah-Buahan,Mangga,Kuintal,6267.0,1419.0,965.0,22337.0,12098.0,6897.0
Palembang,Buah-Buahan,Mangga,Kuintal,2045.0,1068.0,1673.0,444.0,554.0,229.0
Prabumulih,Buah-Buahan,Mangga,Kuintal,926.0,406.0,155.0,251.0,213.0,592.0
Pagar_Alam,Buah-Buahan,Mangga,Kuintal,4771.0,10320.0,16126.0,15709.0,4705.0,2717.0
Lubuk_Linggau,Buah-Buahan,Mangga,Kuintal,13118.0,16634.0,2839.0,5736.0,11939.0,1033.0
Sumatera_Selatan,Buah-Buahan,Mangga,Kuintal,325606.0,142054.0,199296.0,568432.0,420476.0,293502.0
Ogan_Komering_Ulu,Buah-Buahan,Durian,Kuintal,34136.0,18735.0,94050.0,104152.0,75521.0,61918.0
Ogan_Komering_Ilir,Buah-Buahan,Durian,Kuintal,18440.0,30387.0,170311.0,131740.0,31775.0,13810.0
Muara_Enim,Buah-Buahan,Durian,Kuintal,2615.0,9224.0,17561.0,24241.0,29983.0,17878.0
Lahat,Buah-Buahan,Durian,Kuintal,963.0,749.0,760.0,406.0,669.0,989.0
Musi_Rawas,Buah-Buahan,Durian,Kuintal,48610.0,24428.0,38910.0,56061.0,60406.0,54469.0
Musi_Banyuasin,Buah-Buahan,Durian,Kuintal,2986.0,3278.0,3108.0,6109.0,3834.0,6575.0
Banyuasin,Buah-Buahan,Durian,Kuintal,18498.0,16328.0,35054.0,30650.0,20980.0,26890.0
Ogan_Komering_Ulu_Selatan,Buah-Buahan,Durian,Kuintal,12839.0,1851.0,5098.0,2831.0,1161.0,1496.0
Ogan_Komering_Ulu_Timur,Buah-Buahan,Durian,Kuintal,5486.0,18200.0,19152.0,40278.0,51901.0,323406.0
Ogan_Ilir,Buah-Buahan,Durian,Kuintal,5620.0,7571.0,5767.0,14470.0,10568.0,2379.0
Empat_Lawang,Buah-Buahan,Durian,Kuintal,9479.0,18778.0,10863.0,7994.0,1661.0,2952.0
Pali,Buah-Buahan,Durian,Kuintal,0.0,40.0,260.0,250.0,160.0,2575.0
Musi_Rawas_Utara,Buah-Buahan,Durian,Kuintal,1323.0,2380.0,3183.0,3673.0,10467.0,27043.0
Palembang,Buah-Buahan,Durian,Kuintal,4458.0,3035.0,2089.0,368.0,509.0,494.0
Prabumulih,Buah-Buahan,Durian,Kuintal,337.0,279.0,228.0,122.0,152.0,488.0
Pagar_Alam,Buah-Buahan,Durian,Kuintal,372.0,2993.0,5070.0,6232.0,3904.0,2606.0
Lubuk_Linggau,Buah-Buahan,Durian,Kuintal,33.0,2.0,18.0,102.0,111.0,3.0
Sumatera_Selatan,Buah-Buahan,Durian,Kuintal,166195.0,158258.0,411482.0,429679.0,303762.0,545971.0
Ogan_Komering_Ulu,Buah-Buahan,Jeruk,Kuintal,22398.0,21984.0,27529.0,24974.0,21613.0,16669.0
Ogan_Komering_Ilir,Buah-Buahan,Jeruk,Kuintal,79664.0,109180.0,143531.0,126195.0,102088.0,56535.0
Muara_Enim,Buah-Buahan,Jeruk,Kuintal,57592.0,249869.0,112892.0,100072.0,219986.0,79435.0
Lahat,Buah-Buahan,Jeruk,Kuintal,15479.0,13957.0,10556.0,8489.0,11459.0,12558.0
