Kabupaten/Kota,kelompok,jenis,satuan,2015,2016,2017
Ogan_Komering_Ulu,Buah-Buahan,Salak,Kuintal,3577.0,1466.0,4364.0
Ogan_Komering_Ilir,Buah-Buahan,Salak,Kuintal,35871.0,16873.0,26596.0
Muara_Enim,Buah-Buahan,Salak,Kuintal,15009.0,5745.0,6734.0
Lahat,Buah-Buahan,Salak,Kuintal,17038.0,9235.0,6839.0
Musi_Rawas,Buah-Buahan,Salak,Kuintal,9944.0,7784.0,9347.0
Musi_Banyuasin,Buah-Buahan,Salak,Kuintal,4737.0,3018.0,4201.0
Banyuasin,Buah-Buahan,Salak,Kuintal,6625.0,4826.0,6415.0
Ogan_Komering_Ulu_Selatan,Buah-Buahan,Salak,Kuintal,3762.0,635.0,8523.0
Ogan_Komering_Ulu_Timur,Buah-Buahan,Salak,Kuintal,15045.0,19992.0,17766.0
Ogan_Ilir,Buah-Buahan,Salak,Kuintal,3465.0,3238.0,5636.0
Empat_Lawang,Buah-Buahan,Salak,Kuintal,12743.0,14804.0,6472.0
Pali,Buah-Buahan,Salak,Kuintal,0.0,160.0,707.0
Musi_Rawas_Utara,Buah-Buahan,Salak,Kuintal,550.0,2407.0,393.0
Palembang,Buah-Buahan,Salak,Kuintal,7831.0,5933.0,5330.0
Prabumulih,Buah-Buahan,Salak,Kuintal,947.0,643.0,521.0
Pagar_Alam,Buah-Buahan,Salak,Kuintal,6060.0,10226.0,8853.0
Lubuk_Linggau,Buah-Buahan,Salak,Kuintal,2365.0,4545.0,1772.0
Sumatera_Selatan,Buah-Buahan,Salak,Kuintal,145569.0,111530.0,120469.0
Ogan_Komering_Ulu,Buah-Buahan,Mangga,Kuintal,51333.0,3777.0,7193.0
Ogan_Komering_Ilir,Buah-Buahan,Mangga,Kuintal,15404.0,1865.0,17958.0
Muara_Enim,Buah-Buahan,Mangga,Kuintal,47643.0,9709.0,10872.0
Lahat,Buah-Buahan,Mangga,Kuintal,21940.0,14744.0,8021.0
Musi_Rawas,Buah-Buahan,Mangga,Kuintal,37584.0,32205.0,33526.0
Musi_Banyuasin,Buah-Buahan,Mangga,Kuintal,13106.0,2289.0,6928.0
Banyuasin,Buah-Buahan,Mangga,Kuintal,1493.0,2186.0,1896.0
Ogan_Komering_Ulu_Selatan,Buah-Buahan,Mangga,Kuintal,57249.0,19819.0,61867.0
Ogan_Komering_Ulu_Timur,Buah-Buahan,Mangga,Kuintal,40861.0,3031.0,25977.0
Ogan_Ilir,Buah-Buahan,Mangga,Kuintal,2006.0,87.0,873.0
Empat_Lawang,Buah-Buahan,Mangga,Kuintal,9860.0,22468.0,2156.0
Pali,Buah-Buahan,Mangga,Kuintal,0.0,27.0,271.0
Musi_Rawas_Utara,Buah-Buahan,Mangga,Kuintal,6267.0,1419.0,965.0
Palembang,Buah-Buahan,Mangga,Kuintal,2045.0,1068.0,1673.0
Prabumulih,Buah-Buahan,Mangga,Kuintal,926.0,406.0,155.0
Pagar_Alam,Buah-Buahan,Mangga,Kuintal,4771.0,10320.0,16126.0
Lubuk_Linggau,Buah-Buahan,Mangga,Kuintal,13118.0,16634.0,2839.0
Sumatera_Selatan,Buah-Buahan,Mangga,Kuintal,325606.0,142054.0,199296.0
Ogan_Komering_Ulu,Buah-Buahan,Durian,Kuintal,34136.0,18735.0,94050.0
Ogan_Komering_Ilir,Buah-Buahan,Durian,Kuintal,18440.0,30387.0,170311.0
Muara_Enim,Buah-Buahan,Durian,Kuintal,2615.0,9224.0,17561.0
Lahat,Buah-Buahan,Durian,Kuintal,963.0,749.0,760.0
Musi_Rawas,Buah-Buahan,Durian,Kuintal,48610.0,24428.0,38910.0
Musi_Banyuasin,Buah-Buahan,Durian,Kuintal,2986.0,3278.0,3108.0
Banyuasin,Buah-Buahan,Durian,Kuintal,18498.0,16328.0,35054.0
Ogan_Komering_Ulu_Selatan,Buah-Buahan,Durian,Kuintal,12839.0,1851.0,5098.0
Ogan_Komering_Ulu_Timur,Buah-Buahan,Durian,Kuintal,5486.0,18200.0,19152.0
Ogan_Ilir,Buah-Buahan,Durian,Kuintal,5620.0,7571.0,5767.0
Empat_Lawang,Buah-Buahan,Durian,Kuintal,9479.0,18778.0,10863.0
Pali,Buah-Buahan,Durian,Kuintal,0.0,40.0,260.0
Musi_Rawas_Utara,Buah-Buahan,Durian,Kuintal,1323.0,2380.0,3183.0
Palembang,Buah-Buahan,Durian,Kuintal,4458.0,3035.0,2089.0
Prabumulih,Buah-Buahan,Durian,Kuintal,337.0,279.0,228.0
Pagar_Alam,Buah-Buahan,Durian,Kuintal,372.0,2993.0,5070.0
Lubuk_Linggau,Buah-Buahan,Durian,Kuintal,33.0,2.0,18.0
Sumatera_Selatan,Buah-Buahan,Durian,Kuintal,166195.0,158258.0,411482.0
Ogan_Komering_Ulu,Buah-Buahan,Jeruk,Kuintal,22398.0,21984.0,27529.0
Ogan_Komering_Ilir,Buah-Buahan,Jeruk,Kuintal,79664.0,109180.0,143531.0
Muara_Enim,Buah-Buahan,Jeruk,Kuintal,57592.0,249869.0,112892.0
Lahat,Buah-Buahan,Jeruk,Kuintal,15479.0,13957.0,10556.0
Musi_Rawas,Buah-Buahan,Jeruk,Kuintal,42185.0,51002.0,63157.0
Musi_Banyuasin,Buah-Buahan,Jeruk,Kuintal,33308.0,29213.0,44687.0
Banyuasin,Buah-Buahan,Jeruk,Kuintal,19434.0,23568.0,40141.0
Ogan_Komering_Ulu_Selatan,Buah-Buahan,Jeruk,Kuintal,155350.0,60499.0,148010.0
Ogan_Komering_Ulu_Timur,Buah-Buahan,Jeruk,Kuintal,1118323.0,273815.0,518475.0
Ogan_Ilir,Buah-Buahan,Jeruk,Kuintal,22721.0,29226.0,39779.0
Empat_Lawang,Buah-Buahan,Jeruk,Kuintal,2659.0,4624.0,5076.0
Pali,Buah-Buahan,Jeruk,Kuintal,1195.0,771.0,5943.0
Musi_Rawas_Utara,Buah-Buahan,Jeruk,Kuintal,5027.0,5967.0,11226.0
Palembang,Buah-Buahan,Jeruk,Kuintal,13925.0,7240.0,2786.0
Prabumulih,Buah-Buahan,Jeruk,Kuintal,4250.0,3328.0,3282.0
