Kabupaten/Kota,kelompok,jenis,satuan,2015,2016,2017,2018,2019,2020
Ogan_Komering_Ulu,Daging_Ternak,Babi,kg,0.0,0.0,0.0,0.0,0.0,0.0
Ogan_Komering_Ilir,Daging_Ternak,Babi,kg,0.0,0.0,0.0,0.0,0.0,0.0
Muara_Enim,Daging_Ternak,Babi,kg,0.0,0.0,0.0,0.0,0.0,0.0
Lahat,Daging_Ternak,Babi,kg,0.0,0.0,0.0,0.0,0.0,0.0
Musi_Rawas,Daging_Ternak,Babi,kg,0.0,0.0,0.0,0.0,0.0,0.0
Musi_Banyuasin,Daging_Ternak,Babi,kg,0.0,0.0,0.0,0.0,0.0,0.0
Banyuasin,Daging_Ternak,Babi,kg,0.0,0.0,0.0,0.0,0.0,0.0
Ogan_Komering_Ulu_Selatan,Daging_Ternak,Babi,kg,0.0,0.0,0.0,0.0,0.0,0.0
Ogan_Komering_Ulu_Timur,Daging_Ternak,Babi,kg,0.0,0.0,0.0,0.0,0.0,0.0
Ogan_Ilir,Daging_Ternak,Babi,kg,0.0,0.0,0.0,0.0,0.0,0.0
Empat_Lawang,Daging_Ternak,Babi,kg,0.0,0.0,0.0,0.0,0.0,0.0
Pali,Daging_Ternak,Babi,kg,0.0,0.0,0.0,0.0,0.0,0.0
Musi_Rawas_Utara,Daging_Ternak,Babi,kg,0.0,0.0,0.0,0.0,0.0,0.0
Palembang,Daging_Ternak,Babi,kg,0.0,0.0,0.0,0.0,0.0,0.0
Prabumulih,Daging_Ternak,Babi,kg,0.0,0.0,0.0,0.0,0.0,0.0
Pagar_Alam,Daging_Ternak,Babi,kg,0.0,0.0,0.0,0.0,0.0,0.0
Lubuk_Linggau,Daging_Ternak,Babi,kg,0.0,0.0,0.0,0.0,0.0,0.0
Sumatera_Selatan,Daging_Ternak,Babi,kg,0.0,0.0,0.0,0.0,0.0,0.0
Ogan_Komering_Ulu,Daging_Ternak,Sapi_Perah,kg,415472.0,564144.0,462714.0,419437.2,414552.0,483000.0
Ogan_Komering_Ilir,Daging_Ternak,Sapi_Perah,kg,1123504.0,1413258.0,581532.0,571099.2,561384.0,572608.0
Muara_Enim,Daging_Ternak,Sapi_Perah,kg,923496.0,1057770.0,796950.0,574963.2,1035000.0,1035184.0
Lahat,Daging_Ternak,Sapi_Perah,kg,707664.0,634662.0,507536.0,391230.0,312064.0,650624.0
Musi_Rawas,Daging_Ternak,Sapi_Perah,kg,806104.0,916734.0,905528.0,934122.0,943368.0,952796.0
Musi_Banyuasin,Daging_Ternak,Sapi_Perah,kg,718704.0,775698.0,883310.0,1032267.6,1059288.0,1080632.0
Banyuasin,Daging_Ternak,Sapi_Perah,kg,375360.0,423108.0,317041.0,343896.0,304520.0,324392.0
Ogan_Komering_Ulu_Selatan,Daging_Ternak,Sapi_Perah,kg,260544.0,352590.0,153594.0,139104.0,161368.0,161368.0
Ogan_Komering_Ulu_Timur,Daging_Ternak,Sapi_Perah,kg,1617360.0,1621914.0,1404564.0,1610515.2,1756832.0,1276040.0
Ogan_Ilir,Daging_Ternak,Sapi_Perah,kg,536912.0,634662.0,2670797.0,1343512.8,1680656.0,1697400.0
Empat_Lawang,Daging_Ternak,Sapi_Perah,kg,303600.0,403788.0,102203.0,163447.2,102120.0,163392.0
Pali,Daging_Ternak,Sapi_Perah,kg,79488.0,82303.0,88292.0,57573.6,69392.0,68816.0
Musi_Rawas_Utara,Daging_Ternak,Sapi_Perah,kg,100464.0,130217.0,102010.0,104134.8,125304.0,139104.0
Palembang,Daging_Ternak,Sapi_Perah,kg,4452800.0,5692638.0,2208959.0,2312990.4,1583320.0,1599144.0
Prabumulih,Daging_Ternak,Sapi_Perah,kg,956800.0,1025892.0,396833.0,412675.2,441416.0,454848.0
Pagar_Alam,Daging_Ternak,Sapi_Perah,kg,885040.0,950544.0,447644.0,241500.0,263304.0,269744.0
Lubuk_Linggau,Daging_Ternak,Sapi_Perah,kg,1110992.0,1198806.0,636594.0,608580.0,641424.0,685952.0
Sumatera_Selatan,Daging_Ternak,Sapi_Perah,kg,15374304.0,17878728.0,12666102.0,11261048.4,11455312.0,11615044.0
Ogan_Komering_Ulu,Daging_Ternak,Sapi_Potong,kg,0.0,0.0,0.0,0.0,0.0,0.0
Ogan_Komering_Ilir,Daging_Ternak,Sapi_Potong,kg,0.0,0.0,0.0,0.0,0.0,0.0
Muara_Enim,Daging_Ternak,Sapi_Potong,kg,0.0,0.0,0.0,0.0,0.0,0.0
Lahat,Daging_Ternak,Sapi_Potong,kg,0.0,750.0,0.0,0.0,0.0,0.0
Musi_Rawas,Daging_Ternak,Sapi_Potong,kg,0.0,0.0,0.0,0.0,0.0,0.0
Musi_Banyuasin,Daging_Ternak,Sapi_Potong,kg,0.0,0.0,0.0,0.0,0.0,0.0
Banyuasin,Daging_Ternak,Sapi_Potong,kg,0.0,0.0,0.0,0.0,0.0,0.0
Ogan_Komering_Ulu_Selatan,Daging_Ternak,Sapi_Potong,kg,0.0,0.0,0.0,0.0,0.0,0.0
Ogan_Komering_Ulu_Timur,Daging_Ternak,Sapi_Potong,kg,0.0,0.0,0.0,0.0,0.0,0.0
Ogan_Ilir,Daging_Ternak,Sapi_Potong,kg,0.0,0.0,0.0,0.0,0.0,0.0
Empat_Lawang,Daging_Ternak,Sapi_Potong,kg,0.0,0.0,0.0,0.0,0.0,0.0
Pali,Daging_Ternak,Sapi_Potong,kg,0.0,0.0,0.0,0.0,0.0,0.0
Musi_Rawas_Utara,Daging_Ternak,Sapi_Potong,kg,0.0,0.0,0.0,0.0,0.0,0.0
Palembang,Daging_Ternak,Sapi_Potong,kg,0.0,0.0,0.0,0.0,0.0,0.0
Prabumulih,Daging_Ternak,Sapi_Potong,kg,0.0,0.0,0.0,0.0,0.0,0.0
Pagar_Alam,Daging_Ternak,Sapi_Potong,kg,0.0,0.0,0.0,0.0,0.0,0.0
Lubuk_Linggau,Daging_Ternak,Sapi_Potong,kg,0.0,0.0,0.0,0.0,0.0,0.0
Sumatera_Selatan,Daging_Ternak,Sapi_Potong,kg,0.0,750.0,0.0,0.0,0.0,0.0
Ogan_Komering_Ulu,Daging_Ternak,Kuda,kg,8035.0,80719.0,17102.0,15049.0,13030.0,18242.0
Ogan_Komering_Ilir,Daging_Ternak,Kuda,kg,18242.0,4560.0,13225.0,2964.27,6081.0,6298.0
Muara_Enim,Daging_Ternak,Kuda,kg,261898.0,285710.0,270889.0,233721.14,285569.0,295124.0
Lahat,Daging_Ternak,Kuda,kg,104238.0,18242.0,191993.0,27362.48,13681.0,17807.0
Musi_Rawas,Daging_Ternak,Kuda,kg,5646.0,6157.0,6157.0,6385.0,6515.0,6949.0
Musi_Banyuasin,Daging_Ternak,Kuda,kg,10424.0,4788.0,0.0,0.0,0.0,0.0
Banyuasin,Daging_Ternak,Kuda,kg,31054.0,33519.0,8209.0,8664.78,5429.0,5863.0
Ogan_Komering_Ulu_Selatan,Daging_Ternak,Kuda,kg,869.0,456.0,2280.0,1140.1,2389.0,3040.0
Ogan_Komering_Ulu_Timur,Daging_Ternak,Kuda,kg,5863.0,6613.0,19610.0,6384.58,7166.0,5646.0
Ogan_Ilir,Daging_Ternak,Kuda,kg,3909.0,4788.0,51761.0,93032.0,1303.0,1303.0
Empat_Lawang,Daging_Ternak,Kuda,kg,145933.0,160983.0,10033.0,15505.0,9989.0,15419.0
Pali,Daging_Ternak,Kuda,kg,35831.0,39904.0,13453.0,1140.0,22585.0,23019.0
Musi_Rawas_Utara,Daging_Ternak,Kuda,kg,109450.0,140005.0,142741.0,145705.0,193057.0,189583.0
Palembang,Daging_Ternak,Kuda,kg,14116.0,15277.0,684.0,0.0,0.0,0.0
Prabumulih,Daging_Ternak,Kuda,kg,6081.0,2736.0,2280.0,912.08,869.0,0.0
Pagar_Alam,Daging_Ternak,Kuda,kg,22151.0,28275.0,1140.0,6840.62,8035.0,8252.0
Lubuk_Linggau,Daging_Ternak,Kuda,kg,6732.0,144337.0,97137.0,60425.0,86648.0,93597.0
Sumatera_Selatan,Daging_Ternak,Kuda,kg,790472.0,977069.0,848693.0,625232.55,662346.0,690142.0
Ogan_Komering_Ulu,Daging_Ternak,Kerbau,kg,24325.0,57665.0,75826.0,84000.44,43531.0,55234.0
