Kabupaten/Kota,kelompok,jenis,satuan,2015,2016,2017
Ogan_Komering_Ulu,Daging_Ternak,Babi,kg,0.0,0.0,0.0
Ogan_Komering_Ilir,Daging_Ternak,Babi,kg,0.0,0.0,0.0
Muara_Enim,Daging_Ternak,Babi,kg,0.0,0.0,0.0
Lahat,Daging_Ternak,Babi,kg,0.0,0.0,0.0
Musi_Rawas,Daging_Ternak,Babi,kg,0.0,0.0,0.0
Musi_Banyuasin,Daging_Ternak,Babi,kg,0.0,0.0,0.0
Banyuasin,Daging_Ternak,Babi,kg,0.0,0.0,0.0
Ogan_Komering_Ulu_Selatan,Daging_Ternak,Babi,kg,0.0,0.0,0.0
Ogan_Komering_Ulu_Timur,Daging_Ternak,Babi,kg,0.0,0.0,0.0
Ogan_Ilir,Daging_Ternak,Babi,kg,0.0,0.0,0.0
Empat_Lawang,Daging_Ternak,Babi,kg,0.0,0.0,0.0
Pali,Daging_Ternak,Babi,kg,0.0,0.0,0.0
Musi_Rawas_Utara,Daging_Ternak,Babi,kg,0.0,0.0,0.0
Palembang,Daging_Ternak,Babi,kg,0.0,0.0,0.0
Prabumulih,Daging_Ternak,Babi,kg,0.0,0.0,0.0
Pagar_Alam,Daging_Ternak,Babi,kg,0.0,0.0,0.0
Lubuk_Linggau,Daging_Ternak,Babi,kg,0.0,0.0,0.0
Sumatera_Selatan,Daging_Ternak,Babi,kg,0.0,0.0,0.0
Ogan_Komering_Ulu,Daging_Ternak,Sapi_Perah,kg,415472.0,564144.0,462714.0
Ogan_Komering_Ilir,Daging_Ternak,Sapi_Perah,kg,1123504.0,1413258.0,581532.0
Muara_Enim,Daging_Ternak,Sapi_Perah,kg,923496.0,1057770.0,796950.0
Lahat,Daging_Ternak,Sapi_Perah,kg,707664.0,634662.0,507536.0
Musi_Rawas,Daging_Ternak,Sapi_Perah,kg,806104.0,916734.0,905528.0
Musi_Banyuasin,Daging_Ternak,Sapi_Perah,kg,718704.0,775698.0,883310.0
Banyuasin,Daging_Ternak,Sapi_Perah,kg,375360.0,423108.0,317041.0
Ogan_Komering_Ulu_Selatan,Daging_Ternak,Sapi_Perah,kg,260544.0,352590.0,153594.0
Ogan_Komering_Ulu_Timur,Daging_Ternak,Sapi_Perah,kg,1617360.0,1621914.0,1404564.0
Ogan_Ilir,Daging_Ternak,Sapi_Perah,kg,536912.0,634662.0,2670797.0
Empat_Lawang,Daging_Ternak,Sapi_Perah,kg,303600.0,403788.0,102203.0
Pali,Daging_Ternak,Sapi_Perah,kg,79488.0,82303.0,88292.0
Musi_Rawas_Utara,Daging_Ternak,Sapi_Perah,kg,100464.0,130217.0,102010.0
Palembang,Daging_Ternak,Sapi_Perah,kg,4452800.0,5692638.0,2208959.0
Prabumulih,Daging_Ternak,Sapi_Perah,kg,956800.0,1025892.0,396833.0
Pagar_Alam,Daging_Ternak,Sapi_Perah,kg,885040.0,950544.0,447644.0
Lubuk_Linggau,Daging_Ternak,Sapi_Perah,kg,1110992.0,1198806.0,636594.0
Sumatera_Selatan,Daging_Ternak,Sapi_Perah,kg,15374304.0,17878728.0,12666102.0
Ogan_Komering_Ulu,Daging_Ternak,Sapi_Potong,kg,0.0,0.0,0.0
Ogan_Komering_Ilir,Daging_Ternak,Sapi_Potong,kg,0.0,0.0,0.0
Muara_Enim,Daging_Ternak,Sapi_Potong,kg,0.0,0.0,0.0
Lahat,Daging_Ternak,Sapi_Potong,kg,0.0,750.0,0.0
Musi_Rawas,Daging_Ternak,Sapi_Potong,kg,0.0,0.0,0.0
Musi_Banyuasin,Daging_Ternak,Sapi_Potong,kg,0.0,0.0,0.0
Banyuasin,Daging_Ternak,Sapi_Potong,kg,0.0,0.0,0.0
Ogan_Komering_Ulu_Selatan,Daging_Ternak,Sapi_Potong,kg,0.0,0.0,0.0
Ogan_Komering_Ulu_Timur,Daging_Ternak,Sapi_Potong,kg,0.0,0.0,0.0
Ogan_Ilir,Daging_Ternak,Sapi_Potong,kg,0.0,0.0,0.0
Empat_Lawang,Daging_Ternak,Sapi_Potong,kg,0.0,0.0,0.0
Pali,Daging_Ternak,Sapi_Potong,kg,0.0,0.0,0.0
Musi_Rawas_Utara,Daging_Ternak,Sapi_Potong,kg,0.0,0.0,0.0
Palembang,Daging_Ternak,Sapi_Potong,kg,0.0,0.0,0.0
Prabumulih,Daging_Ternak,Sapi_Potong,kg,0.0,0.0,0.0
Pagar_Alam,Daging_Ternak,Sapi_Potong,kg,0.0,0.0,0.0
Lubuk_Linggau,Daging_Ternak,Sapi_Potong,kg,0.0,0.0,0.0
Sumatera_Selatan,Daging_Ternak,Sapi_Potong,kg,0.0,750.0,0.0
Ogan_Komering_Ulu,Daging_Ternak,Kuda,kg,8035.0,80719.0,17102.0
Ogan_Komering_Ilir,Daging_Ternak,Kuda,kg,18242.0,4560.0,13225.0
Muara_Enim,Daging_Ternak,Kuda,kg,261898.0,285710.0,270889.0
Lahat,Daging_Ternak,Kuda,kg,104238.0,18242.0,191993.0
Musi_Rawas,Daging_Ternak,Kuda,kg,5646.0,6157.0,6157.0
