Kabupaten/Kota,kelompok,jenis,satuan,2015,2016,2017
Ogan_Komering_Ulu,Daging_Unggas,Itik/Itik_Manila,kg,111753.0,142314.0,185515.0
Ogan_Komering_Ilir,Daging_Unggas,Itik/Itik_Manila,kg,478925.0,302125.0,306814.0
Muara_Enim,Daging_Unggas,Itik/Itik_Manila,kg,1874286.0,1875117.0,2968376.0
Lahat,Daging_Unggas,Itik/Itik_Manila,kg,128219.0,132064.0,237380.0
Musi_Rawas,Daging_Unggas,Itik/Itik_Manila,kg,991197.0,1080401.0,1177637.0
Musi_Banyuasin,Daging_Unggas,Itik/Itik_Manila,kg,510665.0,516011.0,538132.0
Banyuasin,Daging_Unggas,Itik/Itik_Manila,kg,2142206.0,2356427.0,2401216.0
Ogan_Komering_Ulu_Selatan,Daging_Unggas,Itik/Itik_Manila,kg,361625.0,317533.0,349286.0
Ogan_Komering_Ulu_Timur,Daging_Unggas,Itik/Itik_Manila,kg,694914.0,729655.0,782222.0
Ogan_Ilir,Daging_Unggas,Itik/Itik_Manila,kg,1020928.0,1022267.0,1026957.0
Empat_Lawang,Daging_Unggas,Itik/Itik_Manila,kg,12514.0,7623.0,7573.0
Pali,Daging_Unggas,Itik/Itik_Manila,kg,8307.0,70661.0,73341.0
Musi_Rawas_Utara,Daging_Unggas,Itik/Itik_Manila,kg,231316.0,379110.0,279998.0
Palembang,Daging_Unggas,Itik/Itik_Manila,kg,870093.0,870307.0,871861.0
Prabumulih,Daging_Unggas,Itik/Itik_Manila,kg,29074.0,31338.0,37112.0
Pagar_Alam,Daging_Unggas,Itik/Itik_Manila,kg,82545.0,82545.0,88330.0
Lubuk_Linggau,Daging_Unggas,Itik/Itik_Manila,kg,58857.0,33267.0,35558.0
Sumatera_Selatan,Daging_Unggas,Itik/Itik_Manila,kg,9607424.0,9948765.0,11367311.0
Ogan_Komering_Ulu,Daging_Unggas,Ayam_Kampung,kg,8712.0,24539.0,23014.0
Ogan_Komering_Ilir,Daging_Unggas,Ayam_Kampung,kg,20001.0,16241.0,16480.0
Muara_Enim,Daging_Unggas,Ayam_Kampung,kg,306880.0,223390.0,405743.0
Lahat,Daging_Unggas,Ayam_Kampung,kg,0.0,0.0,165.0
Musi_Rawas,Daging_Unggas,Ayam_Kampung,kg,0.0,0.0,1452.0
Musi_Banyuasin,Daging_Unggas,Ayam_Kampung,kg,182.0,1815.0,3801.0
Banyuasin,Daging_Unggas,Ayam_Kampung,kg,3737448.0,3871613.0,3949055.0
Ogan_Komering_Ulu_Selatan,Daging_Unggas,Ayam_Kampung,kg,7260.0,7260.0,5082.0
Ogan_Komering_Ulu_Timur,Daging_Unggas,Ayam_Kampung,kg,2541.0,2672.0,8639.0
Ogan_Ilir,Daging_Unggas,Ayam_Kampung,kg,43560.0,58806.0,63162.0
Empat_Lawang,Daging_Unggas,Ayam_Kampung,kg,1887.0,4051.0,2186.0
Pali,Daging_Unggas,Ayam_Kampung,kg,0.0,0.0,0.0
Musi_Rawas_Utara,Daging_Unggas,Ayam_Kampung,kg,0.0,10585.0,0.0
Palembang,Daging_Unggas,Ayam_Kampung,kg,328900.0,353881.0,283140.0
Prabumulih,Daging_Unggas,Ayam_Kampung,kg,152460.0,72600.0,94380.0
Pagar_Alam,Daging_Unggas,Ayam_Kampung,kg,0.0,0.0,0.0
Lubuk_Linggau,Daging_Unggas,Ayam_Kampung,kg,0.0,0.0,290.0
Sumatera_Selatan,Daging_Unggas,Ayam_Kampung,kg,4609831.0,4647453.0,4856590.0
