Kabupaten/Kota,kelompok,jenis,satuan,2017,2018,2019
Ogan_Komering_Ulu,Palawija,Ubi_Jalar,Ton,53934.0,104753.0,73985.0
Ogan_Komering_Ilir,Palawija,Ubi_Jalar,Ton,44464.0,25130.0,9657.0
Muara_Enim,Palawija,Ubi_Jalar,Ton,6284.0,11607.0,5940.0
Lahat,Palawija,Ubi_Jalar,Ton,77495.0,8467.0,5607.0
Musi_Rawas,Palawija,Ubi_Jalar,Ton,53874.0,57373.0,32030.0
Musi_Banyuasin,Palawija,Ubi_Jalar,Ton,57954.0,45993.0,52531.0
Banyuasin,Palawija,Ubi_Jalar,Ton,142521.0,128443.0,65293.0
Ogan_Komering_Ulu_Selatan,Palawija,Ubi_Jalar,Ton,242376.0,392258.0,395703.0
Ogan_Komering_Ulu_Timur,Palawija,Ubi_Jalar,Ton,170666.0,214109.0,193372.0
Ogan_Ilir,Palawija,Ubi_Jalar,Ton,2346.0,12075.0,2584.0
Empat_Lawang,Palawija,Ubi_Jalar,Ton,13392.0,20140.0,12771.0
Pali,Palawija,Ubi_Jalar,Ton,10268.0,4667.0,3395.0
Musi_Rawas_Utara,Palawija,Ubi_Jalar,Ton,5632.0,3018.0,3576.0
Palembang,Palawija,Ubi_Jalar,Ton,71.0,522.0,86.0
Prabumulih,Palawija,Ubi_Jalar,Ton,3867.0,3413.0,218.0
Pagar_Alam,Palawija,Ubi_Jalar,Ton,2068.0,3008.0,706.0
Lubuk_Linggau,Palawija,Ubi_Jalar,Ton,5146.0,3622.0,2392.0
Sumatera_Selatan,Palawija,Ubi_Jalar,Ton,892358.0,1038598.0,859846.0
Ogan_Komering_Ulu,Palawija,Jagung,Ton,0.0,256.0,2013.0
Ogan_Komering_Ilir,Palawija,Jagung,Ton,197.0,23.0,26.0
Muara_Enim,Palawija,Jagung,Ton,107.0,125.0,53.0
Lahat,Palawija,Jagung,Ton,2202.0,421.0,837.0
Musi_Rawas,Palawija,Jagung,Ton,7540.0,4938.0,9816.0
Musi_Banyuasin,Palawija,Jagung,Ton,69.0,15.0,1.0
Banyuasin,Palawija,Jagung,Ton,163.0,1.0,0.0
Ogan_Komering_Ulu_Selatan,Palawija,Jagung,Ton,0.0,361.0,1242.0
Ogan_Komering_Ulu_Timur,Palawija,Jagung,Ton,484.0,7082.0,496.0
Ogan_Ilir,Palawija,Jagung,Ton,0.0,485.0,0.0
Empat_Lawang,Palawija,Jagung,Ton,6.0,4.0,0.0
Pali,Palawija,Jagung,Ton,0.0,336.0,381.0
Musi_Rawas_Utara,Palawija,Jagung,Ton,300.0,389.0,412.0
Palembang,Palawija,Jagung,Ton,0.0,5.0,0.0
Prabumulih,Palawija,Jagung,Ton,0.0,0.0,130.0
Pagar_Alam,Palawija,Jagung,Ton,218.0,226.0,0.0
Lubuk_Linggau,Palawija,Jagung,Ton,506.0,582.0,615.0
Sumatera_Selatan,Palawija,Jagung,Ton,11792.0,15249.0,16022.0
Ogan_Komering_Ulu,Palawija,Kedelai,Ton,16.0,4.0,6.0
Ogan_Komering_Ilir,Palawija,Kedelai,Ton,91.0,161.0,107.0
Muara_Enim,Palawija,Kedelai,Ton,359.0,169.0,212.0
Lahat,Palawija,Kedelai,Ton,173.0,209.0,201.0
Musi_Rawas,Palawija,Kedelai,Ton,138.0,185.0,216.0
Musi_Banyuasin,Palawija,Kedelai,Ton,146.0,164.0,110.0
Banyuasin,Palawija,Kedelai,Ton,65.0,64.0,87.0
Ogan_Komering_Ulu_Selatan,Palawija,Kedelai,Ton,107.0,103.0,147.0
Ogan_Komering_Ulu_Timur,Palawija,Kedelai,Ton,1674.0,837.0,3248.0
Ogan_Ilir,Palawija,Kedelai,Ton,93.0,71.0,58.0
Empat_Lawang,Palawija,Kedelai,Ton,18.0,6.0,14.0
Pali,Palawija,Kedelai,Ton,86.0,22.0,482.0
Musi_Rawas_Utara,Palawija,Kedelai,Ton,36.0,9.0,14.0
Palembang,Palawija,Kedelai,Ton,5.0,7.0,18.0
Prabumulih,Palawija,Kedelai,Ton,3.0,0.0,16.0
Pagar_Alam,Palawija,Kedelai,Ton,98.0,128.0,131.0
Lubuk_Linggau,Palawija,Kedelai,Ton,5.0,2.0,23.0
Sumatera_Selatan,Palawija,Kedelai,Ton,3113.0,2141.0,5090.0
