Kabupaten/Kota,kelompok,jenis,satuan,2015,2016,2017,2018,2019,2020
Ogan_Komering_Ulu,Sayuran,Petsai,Kuintal,740.0,1290.0,284.0,2560.0,2780.0,2560.0
Ogan_Komering_Ilir,Sayuran,Petsai,Kuintal,2350.0,30.0,613.0,213.0,50.0,142.0
Muara_Enim,Sayuran,Petsai,Kuintal,260.0,1020.0,752.0,625.0,1581.0,646.0
Lahat,Sayuran,Petsai,Kuintal,0.0,0.0,260.0,50.0,0.0,35.0
Musi_Rawas,Sayuran,Petsai,Kuintal,1881.0,2809.0,4208.0,3089.0,2764.0,236.0
Musi_Banyuasin,Sayuran,Petsai,Kuintal,0.0,0.0,7.0,0.0,2.0,0.0
Banyuasin,Sayuran,Petsai,Kuintal,10.0,218.0,331.0,7.0,0.0,4.0
Ogan_Komering_Ulu_Selatan,Sayuran,Petsai,Kuintal,0.0,18.0,0.0,0.0,71.0,31.0
Ogan_Komering_Ulu_Timur,Sayuran,Petsai,Kuintal,0.0,289.0,947.0,3050.0,1752.0,807.0
Ogan_Ilir,Sayuran,Petsai,Kuintal,0.0,0.0,0.0,0.0,0.0,0.0
Empat_Lawang,Sayuran,Petsai,Kuintal,0.0,0.0,0.0,0.0,0.0,0.0
Pali,Sayuran,Petsai,Kuintal,0.0,0.0,0.0,0.0,0.0,0.0
Musi_Rawas_Utara,Sayuran,Petsai,Kuintal,0.0,0.0,0.0,0.0,0.0,0.0
Palembang,Sayuran,Petsai,Kuintal,0.0,0.0,0.0,0.0,0.0,0.0
Prabumulih,Sayuran,Petsai,Kuintal,0.0,0.0,0.0,0.0,0.0,0.0
Pagar_Alam,Sayuran,Petsai,Kuintal,587.0,702.0,6356.0,4838.0,4900.0,3730.0
Lubuk_Linggau,Sayuran,Petsai,Kuintal,0.0,0.0,0.0,0.0,0.0,0.0
Ogan_Komering_Ulu,Sayuran,Bawang_Merah,Kuintal,7851.0,19590.0,21645.0,35120.0,16400.0,10830.0
Ogan_Komering_Ilir,Sayuran,Bawang_Merah,Kuintal,9367.0,27775.0,184091.0,179890.0,213710.0,135263.0
Muara_Enim,Sayuran,Bawang_Merah,Kuintal,21889.0,31519.0,32108.0,36988.0,46259.0,33944.0
Lahat,Sayuran,Bawang_Merah,Kuintal,7289.0,10503.0,10459.0,9471.0,6877.0,7412.0
Musi_Rawas,Sayuran,Bawang_Merah,Kuintal,5979.0,11827.0,42562.0,43552.0,14105.0,18599.0
Musi_Banyuasin,Sayuran,Bawang_Merah,Kuintal,19009.0,23290.0,18118.0,20042.0,27498.0,17656.0
Banyuasin,Sayuran,Bawang_Merah,Kuintal,9976.0,18879.0,46450.0,14227.0,14738.0,26034.0
Ogan_Komering_Ulu_Selatan,Sayuran,Bawang_Merah,Kuintal,10840.0,100847.0,99213.0,55598.0,32250.0,21126.0
Ogan_Komering_Ulu_Timur,Sayuran,Bawang_Merah,Kuintal,16672.0,61534.0,20752.0,65023.0,60065.0,29667.0
Ogan_Ilir,Sayuran,Bawang_Merah,Kuintal,8607.0,15716.0,27924.0,24107.0,9372.0,12361.0
Empat_Lawang,Sayuran,Bawang_Merah,Kuintal,2652.0,2879.0,1987.0,2743.0,1725.0,1978.0
Pali,Sayuran,Bawang_Merah,Kuintal,1278.0,576.0,821.0,514.0,223.0,855.0
Musi_Rawas_Utara,Sayuran,Bawang_Merah,Kuintal,3124.0,1953.0,14459.0,4085.0,7887.0,4200.0
