Kabupaten/Kota,kelompok,jenis,satuan,2015,2016,2017
Ogan_Komering_Ulu,Sayuran,Petsai,Kuintal,740.0,1290.0,284.0
Ogan_Komering_Ilir,Sayuran,Petsai,Kuintal,2350.0,30.0,613.0
Muara_Enim,Sayuran,Petsai,Kuintal,260.0,1020.0,752.0
Lahat,Sayuran,Petsai,Kuintal,0.0,0.0,260.0
Musi_Rawas,Sayuran,Petsai,Kuintal,1881.0,2809.0,4208.0
Musi_Banyuasin,Sayuran,Petsai,Kuintal,0.0,0.0,7.0
Banyuasin,Sayuran,Petsai,Kuintal,10.0,218.0,331.0
Ogan_Komering_Ulu_Selatan,Sayuran,Petsai,Kuintal,0.0,18.0,0.0
Ogan_Komering_Ulu_Timur,Sayuran,Petsai,Kuintal,0.0,289.0,947.0
Ogan_Ilir,Sayuran,Petsai,Kuintal,0.0,0.0,0.0
Empat_Lawang,Sayuran,Petsai,Kuintal,0.0,0.0,0.0
Pali,Sayuran,Petsai,Kuintal,0.0,0.0,0.0
Musi_Rawas_Utara,Sayuran,Petsai,Kuintal,0.0,0.0,0.0
Palembang,Sayuran,Petsai,Kuintal,0.0,0.0,0.0
Prabumulih,Sayuran,Petsai,Kuintal,0.0,0.0,0.0
Pagar_Alam,Sayuran,Petsai,Kuintal,587.0,702.0,6356.0
Lubuk_Linggau,Sayuran,Petsai,Kuintal,0.0,0.0,0.0
Ogan_Komering_Ulu,Sayuran,Bawang_Merah,Kuintal,7851.0,19590.0,21645.0
Ogan_Komering_Ilir,Sayuran,Bawang_Merah,Kuintal,9367.0,27775.0,184091.0
Muara_Enim,Sayuran,Bawang_Merah,Kuintal,21889.0,31519.0,32108.0
Lahat,Sayuran,Bawang_Merah,Kuintal,7289.0,10503.0,10459.0
Musi_Rawas,Sayuran,Bawang_Merah,Kuintal,5979.0,11827.0,42562.0
Musi_Banyuasin,Sayuran,Bawang_Merah,Kuintal,19009.0,23290.0,18118.0
Banyuasin,Sayuran,Bawang_Merah,Kuintal,9976.0,18879.0,46450.0
Ogan_Komering_Ulu_Selatan,Sayuran,Bawang_Merah,Kuintal,10840.0,100847.0,99213.0
Ogan_Komering_Ulu_Timur,Sayuran,Bawang_Merah,Kuintal,16672.0,61534.0,20752.0
Ogan_Ilir,Sayuran,Bawang_Merah,Kuintal,8607.0,15716.0,27924.0
Empat_Lawang,Sayuran,Bawang_Merah,Kuintal,2652.0,2879.0,1987.0
Pali,Sayuran,Bawang_Merah,Kuintal,1278.0,576.0,821.0
Musi_Rawas_Utara,Sayuran,Bawang_Merah,Kuintal,3124.0,1953.0,14459.0
Palembang,Sayuran,Bawang_Merah,Kuintal,518.0,1014.0,116.0
Prabumulih,Sayuran,Bawang_Merah,Kuintal,1292.0,2320.0,873.0
Pagar_Alam,Sayuran,Bawang_Merah,Kuintal,6920.0,26006.0,41280.0
Lubuk_Linggau,Sayuran,Bawang_Merah,Kuintal,1137.0,1365.0,79.0
Ogan_Komering_Ulu,Sayuran,Cabai,Kuintal,0.0,0.0,0.0
Ogan_Komering_Ilir,Sayuran,Cabai,Kuintal,0.0,0.0,0.0
Muara_Enim,Sayuran,Cabai,Kuintal,860.0,5580.0,1491.0
Lahat,Sayuran,Cabai,Kuintal,530.0,0.0,110.0
Musi_Rawas,Sayuran,Cabai,Kuintal,0.0,0.0,0.0
Musi_Banyuasin,Sayuran,Cabai,Kuintal,0.0,0.0,0.0
Banyuasin,Sayuran,Cabai,Kuintal,0.0,0.0,0.0
Ogan_Komering_Ulu_Selatan,Sayuran,Cabai,Kuintal,66.0,0.0,0.0
Ogan_Komering_Ulu_Timur,Sayuran,Cabai,Kuintal,0.0,0.0,0.0
Ogan_Ilir,Sayuran,Cabai,Kuintal,0.0,0.0,0.0
Empat_Lawang,Sayuran,Cabai,Kuintal,0.0,0.0,0.0
Pali,Sayuran,Cabai,Kuintal,0.0,0.0,0.0
Musi_Rawas_Utara,Sayuran,Cabai,Kuintal,0.0,0.0,0.0
Palembang,Sayuran,Cabai,Kuintal,0.0,0.0,0.0
Prabumulih,Sayuran,Cabai,Kuintal,0.0,0.0,0.0
Pagar_Alam,Sayuran,Cabai,Kuintal,2357.0,1167.0,1636.0
Lubuk_Linggau,Sayuran,Cabai,Kuintal,0.0,0.0,0.0
Ogan_Komering_Ulu,Sayuran,Kentang,Kuintal,0.0,0.0,0.0
Ogan_Komering_Ilir,Sayuran,Kentang,Kuintal,0.0,0.0,0.0
Muara_Enim,Sayuran,Kentang,Kuintal,1495.0,2135.0,1360.0
Lahat,Sayuran,Kentang,Kuintal,6799.0,11605.0,8922.0
Musi_Rawas,Sayuran,Kentang,Kuintal,0.0,0.0,0.0
Musi_Banyuasin,Sayuran,Kentang,Kuintal,0.0,0.0,0.0
Banyuasin,Sayuran,Kentang,Kuintal,0.0,0.0,0.0
Ogan_Komering_Ulu_Selatan,Sayuran,Kentang,Kuintal,5605.0,3179.0,10020.0
Ogan_Komering_Ulu_Timur,Sayuran,Kentang,Kuintal,0.0,0.0,0.0
Ogan_Ilir,Sayuran,Kentang,Kuintal,0.0,0.0,0.0
Empat_Lawang,Sayuran,Kentang,Kuintal,0.0,0.0,0.0
Pali,Sayuran,Kentang,Kuintal,0.0,0.0,0.0
Musi_Rawas_Utara,Sayuran,Kentang,Kuintal,0.0,0.0,0.0
Palembang,Sayuran,Kentang,Kuintal,0.0,0.0,0.0
Prabumulih,Sayuran,Kentang,Kuintal,0.0,0.0,0.0
Pagar_Alam,Sayuran,Kentang,Kuintal,45122.0,22638.0,25119.0
Lubuk_Linggau,Sayuran,Kentang,Kuintal,0.0,0.0,0.0
Ogan_Komering_Ulu,Sayuran,Kubis,Kuintal,0.0,0.0,0.0
Ogan_Komering_Ilir,Sayuran,Kubis,Kuintal,1236.0,867.0,1298.0
Muara_Enim,Sayuran,Kubis,Kuintal,1300.0,1805.0,960.0
Lahat,Sayuran,Kubis,Kuintal,5147.0,8520.0,11359.0
Musi_Rawas,Sayuran,Kubis,Kuintal,0.0,0.0,0.0
Musi_Banyuasin,Sayuran,Kubis,Kuintal,0.0,0.0,0.0
Banyuasin,Sayuran,Kubis,Kuintal,442.0,625.0,79.0
Ogan_Komering_Ulu_Selatan,Sayuran,Kubis,Kuintal,1373.0,268.0,3771.0
Ogan_Komering_Ulu_Timur,Sayuran,Kubis,Kuintal,5.0,44.0,1008.0
Ogan_Ilir,Sayuran,Kubis,Kuintal,0.0,0.0,0.0
Empat_Lawang,Sayuran,Kubis,Kuintal,16.0,68.0,52.0
Pali,Sayuran,Kubis,Kuintal,0.0,0.0,0.0
Musi_Rawas_Utara,Sayuran,Kubis,Kuintal,0.0,0.0,0.0
Palembang,Sayuran,Kubis,Kuintal,137.0,106.0,98.0
Prabumulih,Sayuran,Kubis,Kuintal,922.0,512.0,14.0
Pagar_Alam,Sayuran,Kubis,Kuintal,21827.0,19965.0,19161.0
Lubuk_Linggau,Sayuran,Kubis,Kuintal,49.0,0.0,0.0
