Kabupaten/Kota,kelompok,jenis,satuan,2015,2016,2017
Ogan_Komering_Ulu,Tanaman_Perkebunan,Lainnya,Ribu_Ton,52447.0,52447.0,4317.4
Ogan_Komering_Ilir,Tanaman_Perkebunan,Lainnya,Ribu_Ton,184369.0,131770.0,19288.2
Muara_Enim,Tanaman_Perkebunan,Lainnya,Ribu_Ton,162225.0,161439.0,33184.0
Lahat,Tanaman_Perkebunan,Lainnya,Ribu_Ton,25039.0,20003.0,26732.6
Musi_Rawas,Tanaman_Perkebunan,Lainnya,Ribu_Ton,133394.06,134453.0,122441.0
Musi_Banyuasin,Tanaman_Perkebunan,Lainnya,Ribu_Ton,125382.0,322564.0,160381.6
Banyuasin,Tanaman_Perkebunan,Lainnya,Ribu_Ton,47323.0,93777.0,107325.0
Ogan_Komering_Ulu_Selatan,Tanaman_Perkebunan,Lainnya,Ribu_Ton,2957.0,4573.0,37534.0
Ogan_Komering_Ulu_Timur,Tanaman_Perkebunan,Lainnya,Ribu_Ton,37992.92,37993.0,43315.0
Ogan_Ilir,Tanaman_Perkebunan,Lainnya,Ribu_Ton,22645.77,21859.0,151812.4
Empat_Lawang,Tanaman_Perkebunan,Lainnya,Ribu_Ton,1670.0,1670.0,1670.0
Pali,Tanaman_Perkebunan,Lainnya,Ribu_Ton,80460.0,80460.0,440.0
Musi_Rawas_Utara,Tanaman_Perkebunan,Lainnya,Ribu_Ton,127040.34,182168.0,11760.0
Palembang,Tanaman_Perkebunan,Lainnya,Ribu_Ton,602.0,440.0,80460.0
Prabumulih,Tanaman_Perkebunan,Lainnya,Ribu_Ton,11798.0,11692.0,161439.0
Pagar_Alam,Tanaman_Perkebunan,Lainnya,Ribu_Ton,534.81,535.0,535.0
Lubuk_Linggau,Tanaman_Perkebunan,Lainnya,Ribu_Ton,2477.98,2478.0,133076.0
Ogan_Komering_Ulu,Tanaman_Perkebunan,Karet,Ribu_Ton,193.38,193.0,196.0
Ogan_Komering_Ilir,Tanaman_Perkebunan,Karet,Ribu_Ton,3746.0,1927.0,1156.0
Muara_Enim,Tanaman_Perkebunan,Karet,Ribu_Ton,1142.0,1142.0,1176.0
Lahat,Tanaman_Perkebunan,Karet,Ribu_Ton,320.5,320.5,325.0
Musi_Rawas,Tanaman_Perkebunan,Karet,Ribu_Ton,1991.62,19180.0,1766.0
Musi_Banyuasin,Tanaman_Perkebunan,Karet,Ribu_Ton,1047.0,3111.0,3136.0
Banyuasin,Tanaman_Perkebunan,Karet,Ribu_Ton,44269.0,44248.0,0.0
Ogan_Komering_Ulu_Selatan,Tanaman_Perkebunan,Karet,Ribu_Ton,1260.0,1072.0,923.0
Ogan_Komering_Ulu_Timur,Tanaman_Perkebunan,Karet,Ribu_Ton,3127.7,3310.0,3246.0
Ogan_Ilir,Tanaman_Perkebunan,Karet,Ribu_Ton,265.74,264.0,262.0
Empat_Lawang,Tanaman_Perkebunan,Karet,Ribu_Ton,123.4,617.0,123.0
Pali,Tanaman_Perkebunan,Karet,Ribu_Ton,301.0,301.0,301.0
Musi_Rawas_Utara,Tanaman_Perkebunan,Karet,Ribu_Ton,360.32,360.0,360.0
Palembang,Tanaman_Perkebunan,Karet,Ribu_Ton,14.8,14.8,14.8
Prabumulih,Tanaman_Perkebunan,Karet,Ribu_Ton,46.0,46.0,36.0
Pagar_Alam,Tanaman_Perkebunan,Karet,Ribu_Ton,3.0,4.0,5.0
Lubuk_Linggau,Tanaman_Perkebunan,Karet,Ribu_Ton,19.21,149.0,24.0
Ogan_Komering_Ulu,Tanaman_Perkebunan,Kelapa,Ribu_Ton,71198.0,71198.0,115828.0
Ogan_Komering_Ilir,Tanaman_Perkebunan,Kelapa,Ribu_Ton,246691.0,382163.0,436644.75
Muara_Enim,Tanaman_Perkebunan,Kelapa,Ribu_Ton,129500.0,157158.0,372692.0
Lahat,Tanaman_Perkebunan,Kelapa,Ribu_Ton,56480.25,123000.0,187685.0
