Kabupaten/Kota,kelompok,jenis,satuan,2017,2018,2019,2020
Ogan_Komering_Ulu,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Itik/Itik_Manila,Ton,85862.0,122436.58,133490.0,141088.0
Ogan_Komering_Ilir,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Itik/Itik_Manila,Ton,142003.0,449724.82,582621.0,606101.0
Muara_Enim,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Itik/Itik_Manila,Ton,1373854.0,1895387.93,1758303.0,2009585.0
Lahat,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Itik/Itik_Manila,Ton,109867.0,246852.81,186725.0,117485.0
Musi_Rawas,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Itik/Itik_Manila,Ton,545046.0,789434.14,804028.0,846531.0
Musi_Banyuasin,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Itik/Itik_Manila,Ton,249064.0,389677.56,403616.0,423797.0
Banyuasin,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Itik/Itik_Manila,Ton,1111356.0,1582862.84,1611989.0,1647658.0
Ogan_Komering_Ulu_Selatan,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Itik/Itik_Manila,Ton,161660.0,414835.4,573172.0,617262.0
Ogan_Komering_Ulu_Timur,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Itik/Itik_Manila,Ton,362036.0,604293.42,622412.0,636164.0
Ogan_Ilir,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Itik/Itik_Manila,Ton,475307.0,682956.42,1707347.0,1724420.0
Empat_Lawang,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Itik/Itik_Manila,Ton,3505.0,22310.5,50760.0,51724.0
Pali,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Itik/Itik_Manila,Ton,33944.0,56132.05,57815.0,59838.0
Musi_Rawas_Utara,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Itik/Itik_Manila,Ton,129592.0,187969.54,188252.0,189367.0
Palembang,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Itik/Itik_Manila,Ton,403524.0,133198.11,49671.0,50168.0
Prabumulih,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Itik/Itik_Manila,Ton,17177.0,27953.16,32309.0,33602.0
Pagar_Alam,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Itik/Itik_Manila,Ton,40882.0,73686.99,48631.0,52242.0
Lubuk_Linggau,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Itik/Itik_Manila,Ton,16457.0,61636.27,54716.0,73364.0
Ogan_Komering_Ulu,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Kampung,Ton,280784.0,606310.49,753257.0,802310.0
Ogan_Komering_Ilir,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Kampung,Ton,201066.0,347364.12,423206.0,450772.0
Muara_Enim,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Kampung,Ton,4950252.0,8208743.32,10517705.0,11202790.0
Lahat,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Kampung,Ton,2011.0,0.0,0.0,0.0
Musi_Rawas,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Kampung,Ton,17715.0,30467.86,70975.0,75606.0
Musi_Banyuasin,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Kampung,Ton,46369.0,91251.25,0.0,0.0
Banyuasin,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Kampung,Ton,48180269.0,83002535.52,97493539.0,103843819.0
Ogan_Komering_Ulu_Selatan,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Kampung,Ton,62003.0,115777.88,177445.0,189007.0
Ogan_Komering_Ulu_Timur,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Kampung,Ton,105405.0,228508.98,408117.0,434700.0
Ogan_Ilir,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Kampung,Ton,770605.0,1355819.95,1632499.0,1738831.0
Empat_Lawang,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Kampung,Ton,26670.0,307420.75,392472.0,418034.0
Pali,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Kampung,Ton,0.0,0.0,10649.0,11334.0
Musi_Rawas_Utara,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Kampung,Ton,0.0,0.0,0.0,0.0
Palembang,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Kampung,Ton,3454437.0,811511.56,973601.0,1037019.0
Prabumulih,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Kampung,Ton,1151479.0,2361259.46,2860414.0,3046725.0
Pagar_Alam,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Kampung,Ton,0.0,0.0,0.0,0.0
Lubuk_Linggau,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Kampung,Ton,3543.0,0.0,0.0,0.0
Ogan_Komering_Ulu,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Petelur,Ton,,127472.6,132384.0,134643.0
Ogan_Komering_Ilir,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Petelur,Ton,,460550.83,441669.0,450503.0
Muara_Enim,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Petelur,Ton,,1250940.42,1287459.0,1326003.0
Lahat,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Petelur,Ton,,634557.6,148549.0,141813.0
Musi_Rawas,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Petelur,Ton,,2507973.94,2539806.0,2813432.0
Musi_Banyuasin,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Petelur,Ton,,405407.56,423478.0,444651.0
Banyuasin,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Petelur,Ton,,1559525.72,1792237.0,1798748.0
Ogan_Komering_Ulu_Selatan,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Petelur,Ton,,443718.47,482303.0,643070.0
Ogan_Komering_Ulu_Timur,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Petelur,Ton,,1217291.77,1289107.0,1486602.0
Ogan_Ilir,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Petelur,Ton,,4541683.57,6298873.0,6361862.0
Empat_Lawang,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Petelur,Ton,,92095.7,92096.0,92755.0
Pali,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Petelur,Ton,,224109.98,213467.0,217036.0
Musi_Rawas_Utara,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Petelur,Ton,,340248.46,352306.0,369098.0
Palembang,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Petelur,Ton,,176490.63,74894.0,75641.0
Prabumulih,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Petelur,Ton,,95552.2,104258.0,107385.0
