Kabupaten/Kota,kelompok,jenis,satuan,2017
Ogan_Komering_Ulu,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Itik/Itik_Manila,Ton,85862.0
Ogan_Komering_Ilir,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Itik/Itik_Manila,Ton,142003.0
Muara_Enim,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Itik/Itik_Manila,Ton,1373854.0
Lahat,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Itik/Itik_Manila,Ton,109867.0
Musi_Rawas,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Itik/Itik_Manila,Ton,545046.0
Musi_Banyuasin,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Itik/Itik_Manila,Ton,249064.0
Banyuasin,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Itik/Itik_Manila,Ton,1111356.0
Ogan_Komering_Ulu_Selatan,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Itik/Itik_Manila,Ton,161660.0
Ogan_Komering_Ulu_Timur,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Itik/Itik_Manila,Ton,362036.0
Ogan_Ilir,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Itik/Itik_Manila,Ton,475307.0
Empat_Lawang,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Itik/Itik_Manila,Ton,3505.0
Pali,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Itik/Itik_Manila,Ton,33944.0
Musi_Rawas_Utara,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Itik/Itik_Manila,Ton,129592.0
Palembang,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Itik/Itik_Manila,Ton,403524.0
Prabumulih,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Itik/Itik_Manila,Ton,17177.0
Pagar_Alam,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Itik/Itik_Manila,Ton,40882.0
Lubuk_Linggau,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Itik/Itik_Manila,Ton,16457.0
Ogan_Komering_Ulu,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Kampung,Ton,280784.0
Ogan_Komering_Ilir,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Kampung,Ton,201066.0
Muara_Enim,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Kampung,Ton,4950252.0
Lahat,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Kampung,Ton,2011.0
Musi_Rawas,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Kampung,Ton,17715.0
Musi_Banyuasin,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Kampung,Ton,46369.0
Banyuasin,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Kampung,Ton,48180269.0
Ogan_Komering_Ulu_Selatan,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Kampung,Ton,62003.0
Ogan_Komering_Ulu_Timur,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Kampung,Ton,105405.0
Ogan_Ilir,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Kampung,Ton,770605.0
Empat_Lawang,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Kampung,Ton,26670.0
Pali,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Kampung,Ton,0.0
Musi_Rawas_Utara,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Kampung,Ton,0.0
Palembang,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Kampung,Ton,3454437.0
Prabumulih,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Kampung,Ton,1151479.0
Pagar_Alam,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Kampung,Ton,0.0
Lubuk_Linggau,Telur_Unggas_Menurut_Kabupaten_Kota_dan_Jenis_Unggas,Ayam_Kampung,Ton,3543.0
