Kabupaten/Kota,Kelompok,Jenis,Satuan,2015,2016,2017,2018,2019,2020
Ogan_Komering_Ulu,Daging_Unggas,Itik/Itik_Manila,kg,111753.0,142314.0,185515.0,57429.67,62615.0,66178.0
Ogan_Komering_Ilir,Daging_Unggas,Itik/Itik_Manila,kg,478925.0,302125.0,306814.0,210946.34,273282.0,284296.0
Muara_Enim,Daging_Unggas,Itik/Itik_Manila,kg,1874286.0,1875117.0,2968376.0,889043.97,824744.0,942609.0
Lahat,Daging_Unggas,Itik/Itik_Manila,kg,128219.0,132064.0,237380.0,115787.91,87585.0,55107.0
Musi_Rawas,Daging_Unggas,Itik/Itik_Manila,kg,991197.0,1080401.0,1177637.0,370289.19,377135.0,397071.0
Musi_Banyuasin,Daging_Unggas,Itik/Itik_Manila,kg,510665.0,516011.0,538132.0,182780.78,189319.0,198785.0
Banyuasin,Daging_Unggas,Itik/Itik_Manila,kg,2142206.0,2356427.0,2401216.0,742452.05,756114.0,772844.0
Ogan_Komering_Ulu_Selatan,Daging_Unggas,Itik/Itik_Manila,kg,361625.0,317533.0,349286.0,194581.23,268850.0,289531.0
Ogan_Komering_Ulu_Timur,Daging_Unggas,Itik/Itik_Manila,kg,694914.0,729655.0,782222.0,283447.74,291946.0,298396.0
Ogan_Ilir,Daging_Unggas,Itik/Itik_Manila,kg,1020928.0,1022267.0,1026957.0,320345.13,800842.0,808851.0
Empat_Lawang,Daging_Unggas,Itik/Itik_Manila,kg,12514.0,7623.0,7573.0,10464.88,23809.0,24262.0
Pali,Daging_Unggas,Itik/Itik_Manila,kg,8307.0,70661.0,73341.0,26329.1,27119.0,28068.0
Musi_Rawas_Utara,Daging_Unggas,Itik/Itik_Manila,kg,231316.0,379110.0,279998.0,88168.33,88300.0,88824.0
Palembang,Daging_Unggas,Itik/Itik_Manila,kg,870093.0,870307.0,871861.0,62477.43,23298.0,23532.0
Prabumulih,Daging_Unggas,Itik/Itik_Manila,kg,29074.0,31338.0,37112.0,13111.61,15155.0,15761.0
Pagar_Alam,Daging_Unggas,Itik/Itik_Manila,kg,82545.0,82545.0,88330.0,34563.36,22811.0,24504.0
Lubuk_Linggau,Daging_Unggas,Itik/Itik_Manila,kg,58857.0,33267.0,35558.0,28910.89,25665.0,34412.0
Sumatera_Selatan,Daging_Unggas,Itik/Itik_Manila,kg,9607424.0,9948765.0,11367311.0,3631129.6,4158589.0,4353031.0
Ogan_Komering_Ulu,Daging_Unggas,Ayam_Kampung,kg,8712.0,24539.0,23014.0,28894.8,35898.0,38236.0
Ogan_Komering_Ilir,Daging_Unggas,Ayam_Kampung,kg,20001.0,16241.0,16480.0,16554.25,20168.0,21482.0
Muara_Enim,Daging_Unggas,Ayam_Kampung,kg,306880.0,223390.0,405743.0,391202.2,501240.0,533888.0
Lahat,Daging_Unggas,Ayam_Kampung,kg,0.0,0.0,165.0,0.0,0.0,0.0
Musi_Rawas,Daging_Unggas,Ayam_Kampung,kg,0.0,0.0,1452.0,1452.0,3382.0,3603.0
Musi_Banyuasin,Daging_Unggas,Ayam_Kampung,kg,182.0,1815.0,3801.0,4348.74,0.0,0.0
Banyuasin,Daging_Unggas,Ayam_Kampung,kg,3737448.0,3871613.0,3949055.0,3955632.78,4646227.0,4948861.0
Ogan_Komering_Ulu_Selatan,Daging_Unggas,Ayam_Kampung,kg,7260.0,7260.0,5082.0,5517.6,8457.0,9007.0
Ogan_Komering_Ulu_Timur,Daging_Unggas,Ayam_Kampung,kg,2541.0,2672.0,8639.0,10890.0,19450.0,20716.0
Ogan_Ilir,Daging_Unggas,Ayam_Kampung,kg,43560.0,58806.0,63162.0,64614.0,77799.0,82867.0
Empat_Lawang,Daging_Unggas,Ayam_Kampung,kg,1887.0,4051.0,2186.0,14650.68,18704.0,19923.0
Pali,Daging_Unggas,Ayam_Kampung,kg,0.0,0.0,0.0,0.0,507.0,540.0
Musi_Rawas_Utara,Daging_Unggas,Ayam_Kampung,kg,0.0,10585.0,0.0,0.0,0.0,0.0
Palembang,Daging_Unggas,Ayam_Kampung,kg,328900.0,353881.0,283140.0,38674.02,46399.0,49421.0
Prabumulih,Daging_Unggas,Ayam_Kampung,kg,152460.0,72600.0,94380.0,112530.0,136319.0,145198.0
Pagar_Alam,Daging_Unggas,Ayam_Kampung,kg,0.0,0.0,0.0,0.0,0.0,0.0
Lubuk_Linggau,Daging_Unggas,Ayam_Kampung,kg,0.0,0.0,290.0,0.0,0.0,0.0
Sumatera_Selatan,Daging_Unggas,Ayam_Kampung,kg,4609831.0,4647453.0,4856590.0,4644961.07,5514550.0,5873742.0
Ogan_Komering_Ulu,Daging_Unggas,Ayam_Petelur,kg,141720.0,125722.0,118172.0,118562.48,250713.0,234948.0
Ogan_Komering_Ilir,Daging_Unggas,Ayam_Petelur,kg,1371643.0,1502130.0,1521734.0,1342544.34,2845050.0,2666159.0
Muara_Enim,Daging_Unggas,Ayam_Petelur,kg,7214243.0,7214243.0,2897413.0,12293898.11,28006022.0,26245055.0
Lahat,Daging_Unggas,Ayam_Petelur,kg,1855787.0,1911462.0,2900061.0,2971307.46,6338026.0,5939502.0
Musi_Rawas,Daging_Unggas,Ayam_Petelur,kg,2338446.0,2447271.0,2569635.0,2589160.86,5407577.0,5067559.0
Musi_Banyuasin,Daging_Unggas,Ayam_Petelur,kg,604203.0,582464.0,485975.0,489370.93,1064136.0,997224.0
Banyuasin,Daging_Unggas,Ayam_Petelur,kg,12161506.0,13377657.0,13605084.0,13624362.31,28201002.0,26427775.0
Ogan_Komering_Ulu_Selatan,Daging_Unggas,Ayam_Petelur,kg,195261.0,1072634.0,976305.0,1119496.4,2695835.0,2526328.0
Ogan_Komering_Ulu_Timur,Daging_Unggas,Ayam_Petelur,kg,234352.0,361558.0,397031.0,3357838.33,7166880.0,6716238.0
Ogan_Ilir,Daging_Unggas,Ayam_Petelur,kg,869562.0,889088.0,890390.0,912519.74,1941002.0,1818955.0
Empat_Lawang,Daging_Unggas,Ayam_Petelur,kg,7160.0,3385.0,43831.0,49273.46,145966.0,136788.0
Pali,Daging_Unggas,Ayam_Petelur,kg,3906.0,377505.0,416557.0,2421236.4,5164682.0,4839936.0
Musi_Rawas_Utara,Daging_Unggas,Ayam_Petelur,kg,283128.0,293178.0,320619.0,328634.68,681604.0,638746.0
Palembang,Daging_Unggas,Ayam_Petelur,kg,4751351.0,5044138.0,5013001.0,1411705.79,3011294.0,2821950.0
Prabumulih,Daging_Unggas,Ayam_Petelur,kg,1041392.0,1040871.0,976305.0,985417.18,2122378.0,1988927.0
Pagar_Alam,Daging_Unggas,Ayam_Petelur,kg,23431.0,23431.0,118458.0,222597.54,366634.0,343581.0
Lubuk_Linggau,Daging_Unggas,Ayam_Petelur,kg,221296.0,89820.0,97631.0,185448.48,437966.0,410427.0
Sumatera_Selatan,Daging_Unggas,Ayam_Petelur,kg,33318387.0,36356557.0,33348199.0,44423374.5,95846767.0,89820098.0
Ogan_Komering_Ulu,Daging_Unggas,Ayam_Pedaging,kg,11341.0,10932.0,16228.0,18002.0,18695.0,19015.0
Ogan_Komering_Ilir,Daging_Unggas,Ayam_Pedaging,kg,153309.0,71007.0,72024.0,65040.15,62374.0,63620.0
Muara_Enim,Daging_Unggas,Ayam_Pedaging,kg,175388.0,191610.0,109085.0,176660.96,181817.0,187261.0
Lahat,Daging_Unggas,Ayam_Pedaging,kg,63344.0,65195.0,18543.0,89613.82,20978.0,20027.0
Musi_Rawas,Daging_Unggas,Ayam_Pedaging,kg,289045.0,317947.0,349741.0,354182.4,358678.0,397320.0
Musi_Banyuasin,Daging_Unggas,Ayam_Pedaging,kg,56340.0,56749.0,56222.0,57252.68,59804.0,62795.0
Banyuasin,Daging_Unggas,Ayam_Pedaging,kg,197116.0,216823.0,219990.0,220240.15,253104.0,254024.0
Ogan_Komering_Ulu_Selatan,Daging_Unggas,Ayam_Pedaging,kg,33341.0,60847.0,63889.0,62663.04,68112.0,90816.0
Ogan_Komering_Ulu_Timur,Daging_Unggas,Ayam_Pedaging,kg,177284.0,198637.0,161536.0,171909.01,182050.0,209942.0
Ogan_Ilir,Daging_Unggas,Ayam_Pedaging,kg,615278.0,624360.0,632306.0,641388.0,889543.0,898439.0
Empat_Lawang,Daging_Unggas,Ayam_Pedaging,kg,9626.0,9865.0,9868.0,13005.99,13006.0,13098.0
Pali,Daging_Unggas,Ayam_Pedaging,kg,5904.0,28471.0,28494.0,31649.38,30147.0,30650.0
Musi_Rawas_Utara,Daging_Unggas,Ayam_Pedaging,kg,47315.0,53888.0,45923.0,48050.75,49754.0,52125.0
Palembang,Daging_Unggas,Ayam_Pedaging,kg,72051.0,72108.0,59057.0,24924.45,10576.0,10682.0
Prabumulih,Daging_Unggas,Ayam_Pedaging,kg,4654.0,4813.0,12975.0,13494.12,14724.0,15164.0
Pagar_Alam,Daging_Unggas,Ayam_Pedaging,kg,11023.0,11023.0,3386.0,2253.37,946.0,1071.0
Lubuk_Linggau,Daging_Unggas,Ayam_Pedaging,kg,31422.0,18504.0,16247.0,19122.44,18789.0,28198.0
Sumatera_Selatan,Daging_Unggas,Ayam_Pedaging,kg,1953781.0,2012779.0,1875515.0,2009452.71,2233097.0,2354247.0
