Kabupaten/Kota,Kelompok,Jenis,Satuan,2014,2017,2018
Ogan_Komering_Ulu,Perikanan_Budidaya,Jumlah,Ton,17799.3,415.0,385.0
Ogan_Komering_Ilir,Perikanan_Budidaya,Jumlah,Ton,10021.3,129.0,2522.0
Muara_Enim,Perikanan_Budidaya,Jumlah,Ton,10621.0,211224.0,2190.0
Lahat,Perikanan_Budidaya,Jumlah,Ton,13826.7,1800.0,28.0
Musi_Rawas,Perikanan_Budidaya,Jumlah,Ton,36126.4,12420.0,32424.0
Musi_Banyuasin,Perikanan_Budidaya,Jumlah,Ton,16299.8,62233.0,48153.0
Banyuasin,Perikanan_Budidaya,Jumlah,Ton,32627.8,614.0,18690.0
Ogan_Komering_Ulu_Selatan,Perikanan_Budidaya,Jumlah,Ton,15060.2,35958.0,315.0
Ogan_Komering_Ulu_Timur,Perikanan_Budidaya,Jumlah,Ton,25807.0,4772.0,44349.0
Ogan_Ilir,Perikanan_Budidaya,Jumlah,Ton,12362.9,1895.0,2449.0
Empat_Lawang,Perikanan_Budidaya,Jumlah,Ton,2835.5,3705.0,416.0
Pali,Perikanan_Budidaya,Jumlah,Ton,0.0,0.0,173.0
Musi_Rawas_Utara,Perikanan_Budidaya,Jumlah,Ton,0.0,0.0,4566.0
Palembang,Perikanan_Budidaya,Jumlah,Ton,13799.7,0.0,56305.0
Prabumulih,Perikanan_Budidaya,Jumlah,Ton,3132.0,1211.0,603.0
Pagar_Alam,Perikanan_Budidaya,Jumlah,Ton,4241.0,3705.0,18231.0
Lubuk_Linggau,Perikanan_Budidaya,Jumlah,Ton,7308.0,4864.0,7021.0
Ogan_Komering_Ulu,Perikanan_Budidaya,Kolam_Air_Tawar,Ton,0.0,0.0,0.0
Ogan_Komering_Ilir,Perikanan_Budidaya,Kolam_Air_Tawar,Ton,0.0,0.0,0.0
Muara_Enim,Perikanan_Budidaya,Kolam_Air_Tawar,Ton,105.0,0.0,0.0
Lahat,Perikanan_Budidaya,Kolam_Air_Tawar,Ton,5665.3,6.0,0.0
Musi_Rawas,Perikanan_Budidaya,Kolam_Air_Tawar,Ton,13818.1,970.0,12832.0
Musi_Banyuasin,Perikanan_Budidaya,Kolam_Air_Tawar,Ton,0.0,0.0,0.0
Banyuasin,Perikanan_Budidaya,Kolam_Air_Tawar,Ton,0.0,0.0,0.0
Ogan_Komering_Ulu_Selatan,Perikanan_Budidaya,Kolam_Air_Tawar,Ton,0.0,0.0,22.0
Ogan_Komering_Ulu_Timur,Perikanan_Budidaya,Kolam_Air_Tawar,Ton,4178.0,0.0,0.0
Ogan_Ilir,Perikanan_Budidaya,Kolam_Air_Tawar,Ton,0.0,0.0,0.0
Empat_Lawang,Perikanan_Budidaya,Kolam_Air_Tawar,Ton,0.0,73.0,0.0
Pali,Perikanan_Budidaya,Kolam_Air_Tawar,Ton,0.0,0.0,0.0
Musi_Rawas_Utara,Perikanan_Budidaya,Kolam_Air_Tawar,Ton,0.0,0.0,523.0
Palembang,Perikanan_Budidaya,Kolam_Air_Tawar,Ton,0.0,0.0,0.0
Prabumulih,Perikanan_Budidaya,Kolam_Air_Tawar,Ton,0.0,0.0,0.0
Pagar_Alam,Perikanan_Budidaya,Kolam_Air_Tawar,Ton,6060.2,0.0,302.0
Lubuk_Linggau,Perikanan_Budidaya,Kolam_Air_Tawar,Ton,9179.3,0.0,9813.0
Ogan_Komering_Ulu,Perikanan_Budidaya,Kolam_Air_Deras,Ton,1092.4,0.0,0.0
Ogan_Komering_Ilir,Perikanan_Budidaya,Kolam_Air_Deras,Ton,1455.6,0.0,0.0
