time	psfc	msl	wSpeed.10	wDir.10	wSpeed.25	wDir.25	wSpeed.50	wDir.50	wSpeed.75	wDir.75	wSpeed.100	wDir.100	wSpeed.150	wDir.150	wSpeed.200	wDir.200	wSpeed.0-30mb	wDir.0-30mb	wSpeed.850hpa	wDir.850hpa	temperature.2	temperature.100	waterTemp	soilTemp.0-10cm	relHumidity.2	snowDepth	vis.s	sensHeatFlux.s	totPrecip.s	downShortWaveFlux.s	swdDir.s	swdDni.s	swdDif.s	totalCloudCover.a	convCloudCover.a	4LFTX	rmol	znt	sqrtTKE.10	sqrtTKE.25	sqrtTKE.50	sqrtTKE.75	sqrtTKE.100	sqrtTKE.150	sqrtTKE.200	cloudWater.100	cloudIce.100
2009-01-01 00:00	100895.7	100898.8	0.00	4.1	0.56	350.6	1.49	340.4	2.03	334.4	2.40	330.5	2.71	328.0	2.89	324.2	2.31	327.3	7.58	283.8	25.5	25.4	25.7	9.5	90.52	0.0	24200.00	9.80	0.00	225.100	110.00	0.00	40.00	100.00	0.00	-4.30	0.190000	0.150180	0.447	0.447	0.447	0.447	0.447	0.447	0.447	0.000	0.000
2009-01-01 01:00	100924.8	100928.1	1.16	8.7	1.27	4.6	1.36	1.4	1.41	359.6	1.49	357.6	2.04	348.5	2.51	342.8	1.99	347.7	7.30	286.1	26.1	25.7	26.6	9.7	88.30	0.0	24200.00	21.80	0.00	361.900	100.00	300.00	130.00	100.00	0.00	-5.30	0.100000	0.150180	0.521	0.504	0.492	0.484	0.478	0.463	0.453	0.000	0.000
2009-01-01 02:00	100862.9	100865.9	2.23	18.1	2.46	15.0	2.63	12.7	2.73	11.4	2.81	10.3	2.95	7.9	3.16	5.2	2.94	7.8	7.45	299.1	26.9	26.4	27.8	9.9	85.76	0.0	24200.00	53.50	0.00	595.000	360.00	520.00	210.00	100.00	0.00	-6.10	0.090000	0.150180	0.690	0.650	0.620	0.603	0.590	0.571	0.558	0.000	0.000
2009-01-01 03:00	100791.8	100795.2	2.98	37.7	3.02	33.3	3.04	29.9	3.06	28.0	3.07	26.4	3.08	22.0	3.08	17.9	3.05	22.8	7.45	300.0	27.6	27.1	28.4	10.3	84.28	0.0	24200.00	65.20	0.00	670.000	370.00	400.00	270.00	100.00	0.00	-7.00	0.104000	0.150180	0.739	0.702	0.675	0.658	0.647	0.636	0.625	0.000	0.000
2009-01-01 04:00	100780.3	100783.6	3.77	45.9	3.74	42.1	3.71	39.2	3.70	37.5	3.68	36.1	3.59	31.3	3.52	26.6	3.57	32.0	7.07	298.2	27.7	27.2	28.8	10.7	86.55	0.0	24200.00	82.90	0.00	613.000	350.00	400.00	310.00	100.00	0.00	-7.50	0.200000	0.150180	0.877	0.805	0.752	0.720	0.698	0.671	0.650	0.000	0.000
2009-01-01 05:00	100761.5	100764.3	4.07	51.0	3.98	47.5	3.91	44.7	3.87	43.2	3.83	41.8	3.66	37.0	3.51	32.3	3.65	37.8	6.96	285.8	27.6	27.3	28.7	11.0	87.66	0.0	24200.00	78.00	0.00	485.200	260.00	300.00	330.00	100.00	0.00	-7.70	0.063000	0.150180	0.902	0.821	0.759	0.723	0.697	0.659	0.638	0.000	0.000
2009-01-01 06:00	100694.3	100697.4	4.85	53.9	4.97	49.4	5.06	46.0	5.11	44.0	5.13	42.4	4.99	38.0	4.82	33.2	4.89	38.7	7.00	278.7	27.2	27.1	27.7	11.2	89.55	0.0	24200.00	52.30	0.00	314.000	110.00	100.00	290.00	100.00	0.00	-7.20	-0.200000	0.150180	0.998	0.883	0.797	0.746	0.709	0.637	0.586	0.000	0.000
2009-01-01 07:00	100619.1	100622.6	5.79	50.9	6.48	44.5	7.01	39.6	7.32	36.8	7.52	34.7	7.59	30.5	7.44	28.3	7.23	32.8	5.73	269.1	26.8	27.0	26.4	11.2	91.26	0.0	24200.00	19.30	0.00	326.000	10.00	0.00	170.00	100.00	0.00	-6.30	0.026000	0.150180	1.133	0.986	0.875	0.809	0.760	0.648	0.555	0.000	0.000
2009-01-01 08:00	100564.3	100567.3	4.84	40.5	5.84	35.4	6.59	31.6	7.04	29.4	7.35	27.8	7.81	25.6	7.85	24.7	7.31	27.2	3.66	293.8	26.8	26.8	26.0	11.1	88.41	0.0	23300.00	7.00	0.10	430.700	230.00	300.00	180.00	100.00	0.00	-4.60	0.000000	0.150180	1.033	0.931	0.854	0.809	0.772	0.663	0.548	0.000	0.000
2009-01-01 09:00	100642.8	100645.7	1.53	14.3	2.05	10.3	2.44	7.2	2.66	5.4	2.84	4.1	3.29	1.4	3.70	359.5	3.18	1.8	4.20	301.6	27.7	27.5	25.8	11.2	77.74	0.0	19600.00	-6.60	0.70	39.700	0.00	0.00	30.00	100.00	0.00	-3.90	0.280000	0.150180	0.618	0.597	0.581	0.572	0.565	0.551	0.531	0.000	0.000
