time	psfc	msl	wSpeed.10	wDir.10	wSpeed.25	wDir.25	wSpeed.50	wDir.50	wSpeed.75	wDir.75	wSpeed.100	wDir.100	wSpeed.150	wDir.150	wSpeed.200	wDir.200	wSpeed.0-30mb	wDir.0-30mb	wSpeed.850hpa	wDir.850hpa	temperature.2	temperature.100	waterTemp	soilTemp.0-10cm	relHumidity.2	snowDepth	vis.s	sensHeatFlux.s	totPrecip.s	downShortWaveFlux.s	swdDir.s	swdDni.s	swdDif.s	totalCloudCover.a	convCloudCover.a	4LFTX	rmol	znt	sqrtTKE.10	sqrtTKE.25	sqrtTKE.50	sqrtTKE.75	sqrtTKE.100	sqrtTKE.150	sqrtTKE.200	cloudWater.100	cloudIce.100	u*
2015-01-01 00:00	101245.4	101248.7	1.15	309.8	2.76	312.6	3.97	314.8	4.68	316.1	5.25	317.3	6.62	321.9	7.11	325.0	5.75	322.1	8.49	299.6	23.9	23.4	24.1	9.3	93.61	0.0	24200.00	0.60	0.19	53.400	0.00	0.00	30.00	100.00	0.00	-1.70	-0.060000	0.150180	0.548	0.540	0.535	0.531	0.527	0.505	0.490	0.000	0.000	0.0000
2015-01-01 01:00	101286.7	101289.8	1.99	312.8	3.04	315.2	3.83	316.9	4.30	318.0	4.74	318.9	6.26	321.6	6.99	324.9	5.62	322.8	8.95	302.2	24.0	23.2	24.3	9.3	92.75	0.0	24200.00	3.30	0.21	76.600	0.00	0.00	50.00	100.00	0.00	-1.60	-0.040000	0.150180	0.619	0.590	0.568	0.555	0.546	0.533	0.506	0.000	0.000	0.0000
2015-01-01 02:00	101264.4	101267.8	1.99	313.1	2.95	314.9	3.69	316.3	4.11	317.1	4.50	317.8	5.73	319.9	6.73	322.9	5.43	321.3	9.76	303.6	24.1	23.2	24.4	9.3	92.90	0.0	24200.00	5.00	0.10	98.000	0.00	10.00	90.00	100.00	0.00	-1.70	0.070000	0.150180	0.619	0.590	0.568	0.556	0.546	0.533	0.510	0.000	0.000	0.0000
2015-01-01 03:00	101230.4	101233.1	2.18	312.4	3.00	313.5	3.62	314.3	3.98	314.7	4.29	315.2	5.15	316.8	6.37	319.6	5.21	318.4	10.49	303.8	24.2	23.3	24.5	9.4	92.41	0.0	24200.00	7.00	0.12	120.000	10.00	10.00	110.00	100.00	0.00	-1.80	-0.100000	0.150180	0.653	0.610	0.578	0.559	0.546	0.525	0.510	0.000	0.000	0.0000
2015-01-01 04:00	101221.6	101224.8	2.21	307.7	2.90	309.2	3.43	310.4	3.74	311.1	3.99	311.7	4.71	313.4	5.67	315.4	4.73	314.1	10.96	301.6	24.5	23.6	24.7	9.4	92.02	0.0	24200.00	7.50	0.08	132.000	10.00	0.00	120.00	100.00	0.00	-1.80	-0.002000	0.150180	0.636	0.600	0.573	0.557	0.547	0.540	0.534	0.000	0.000	0.0000
2015-01-01 05:00	101189.4	101192.4	2.35	306.9	2.96	308.4	3.43	309.5	3.70	310.2	3.92	310.7	4.42	311.7	4.96	313.0	4.32	312.0	11.49	297.9	24.7	23.9	24.9	9.5	91.04	0.0	24200.00	8.20	0.00	206.400	10.00	0.00	130.00	100.00	0.00	-1.90	0.004000	0.150180	0.635	0.607	0.586	0.573	0.564	0.551	0.539	0.000	0.000	0.0000
2015-01-01 06:00	101084.1	101087.2	2.66	309.8	3.17	310.8	3.57	311.6	3.79	312.0	3.97	312.4	4.29	312.7	4.62	313.2	4.18	312.7	11.98	298.0	25.2	24.4	25.6	9.6	88.31	0.0	24200.00	22.80	0.00	305.000	20.00	0.00	260.00	100.00	0.00	-2.00	0.013000	0.150180	0.696	0.664	0.639	0.625	0.615	0.596	0.588	0.000	0.000	0.0000
2015-01-01 07:00	100960.4	100963.4	2.92	310.4	3.44	311.1	3.82	311.6	4.05	311.9	4.21	312.1	4.39	312.1	4.57	312.1	4.27	311.9	12.05	299.9	25.6	24.9	25.9	9.7	85.26	0.0	24200.00	26.00	0.00	335.000	50.00	100.00	290.00	100.00	0.00	-2.10	0.021000	0.150180	0.738	0.702	0.674	0.658	0.647	0.635	0.625	0.000	0.000	0.0000
2015-01-01 08:00	100936.3	100939.1	3.15	318.9	3.72	318.4	4.15	318.0	4.40	317.7	4.57	317.5	4.74	317.1	4.90	316.6	4.60	317.1	12.02	301.2	26.1	25.5	25.9	9.9	81.63	0.0	24200.00	18.70	0.00	236.900	70.00	100.00	270.00	100.00	0.00	-2.20	0.035000	0.150180	0.752	0.716	0.689	0.673	0.662	0.651	0.641	0.000	0.000	0.0000
2015-01-01 09:00	100947.7	100950.9	3.13	321.9	3.93	321.0	4.53	320.4	4.89	320.0	5.13	319.7	5.43	318.9	5.62	318.4	5.18	319.1	12.15	301.8	26.3	26.0	25.6	10.0	79.15	0.0	24200.00	4.60	0.00	204.300	60.00	0.00	140.00	100.00	0.00	-2.00	0.100000	0.150180	0.756	0.700	0.657	0.632	0.615	0.597	0.584	0.000	0.000	0.0000
