time,wSpeed.10,wDir.10
2004-01-01 00:00,0.98,286.5
2004-01-01 01:00,2.73,313.3
2004-01-01 02:00,3.03,336.9
2004-01-01 03:00,4.12,353.2
2004-01-01 04:00,4.66,357.8
2004-01-01 05:00,5.2,4.0
2004-01-01 06:00,5.72,4.7
2004-01-01 07:00,6.27,6.3
2004-01-01 08:00,6.24,5.0
2004-01-01 09:00,5.54,4.0
2004-01-01 10:00,5.32,10.1
2004-01-01 11:00,4.79,4.7
2004-01-01 12:00,3.8,6.4
2004-01-01 13:00,3.31,5.1
2004-01-01 14:00,2.96,5.2
2004-01-01 15:00,3.08,1.3
2004-01-01 16:00,3.72,4.5
2004-01-01 17:00,3.36,3.9
2004-01-01 18:00,3.98,10.9
2004-01-01 19:00,2.72,342.4
2004-01-01 20:00,1.65,341.6
2004-01-01 21:00,1.87,329.7
2004-01-01 22:00,1.81,314.4
2004-01-01 23:00,2.66,275.3
2004-01-02 00:00,2.71,322.9
2004-01-02 01:00,3.03,326.9
2004-01-02 02:00,3.31,336.7
2004-01-02 03:00,4.27,355.3
2004-01-02 04:00,5.3,4.4
2004-01-02 05:00,5.76,7.3
2004-01-02 06:00,6.18,9.6
2004-01-02 07:00,6.86,5.1
2004-01-02 08:00,6.99,6.6
2004-01-02 09:00,6.85,6.9
2004-01-02 10:00,6.44,10.8
2004-01-02 11:00,5.4,12.5
2004-01-02 12:00,4.14,12.7
2004-01-02 13:00,3.82,2.1
2004-01-02 14:00,4.19,350.1
2004-01-02 15:00,2.77,350.1
2004-01-02 16:00,4.44,347.9
2004-01-02 17:00,3.33,353.3
2004-01-02 18:00,2.54,338.4
2004-01-02 19:00,2.21,332.8
2004-01-02 20:00,1.43,289.4
2004-01-02 21:00,3.86,279.8
2004-01-02 22:00,3.74,304.6
2004-01-02 23:00,1.98,293.2
2004-01-03 00:00,0.0,268.8
2004-01-03 01:00,2.18,323.0
2004-01-03 02:00,3.82,356.1
2004-01-03 03:00,5.11,7.4
2004-01-03 04:00,5.6,10.7
2004-01-03 05:00,6.06,14.0
2004-01-03 06:00,6.52,14.6
2004-01-03 07:00,7.16,13.9
2004-01-03 08:00,7.17,12.4
2004-01-03 09:00,6.97,13.9
2004-01-03 10:00,6.99,9.1
2004-01-03 11:00,5.86,8.3
2004-01-03 12:00,4.84,9.9
2004-01-03 13:00,4.82,7.1
2004-01-03 14:00,4.97,359.5
2004-01-03 15:00,2.91,7.4
2004-01-03 16:00,3.72,337.7
2004-01-03 17:00,3.32,344.9
2004-01-03 18:00,2.26,327.3
2004-01-03 19:00,2.84,322.0
2004-01-03 20:00,1.95,297.5
2004-01-03 21:00,2.65,307.9
2004-01-03 22:00,1.69,296.7
2004-01-03 23:00,2.26,286.6
2004-01-04 00:00,2.91,277.4
2004-01-04 01:00,2.55,294.3
2004-01-04 02:00,2.98,302.6
2004-01-04 03:00,3.67,325.2
2004-01-04 04:00,3.37,335.1
2004-01-04 05:00,3.86,358.2
2004-01-04 06:00,4.35,1.8
2004-01-04 07:00,5.72,350.6
2004-01-04 08:00,5.5,4.2
2004-01-04 09:00,6.08,8.5
2004-01-04 10:00,4.95,3.5
2004-01-04 11:00,4.16,358.1
2004-01-04 12:00,2.32,6.7
2004-01-04 13:00,2.31,1.1
2004-01-04 14:00,2.44,341.6
2004-01-04 15:00,1.77,324.3
2004-01-04 16:00,1.22,301.1
