videoId,channelId,title,description,publishAt,videoUrl
uotg530Aa7Q,UC0L1suV8pVgO4pCAIBNGx5w,Obsession with Instagram &#39;clean eating&#39; trend turns into eating disorder | 60 Minutes Australia,A different form of eating disorder - Orthorexia nervosa - is on the rise due to the impact of social media. It involves a fixation on ...,2018-10-29T09:00:07Z,https://www.youtube.com/watch?v=uotg530Aa7Q
loeQ_2hKgOc,UCeLyqsQfOtDccvNQShKuvZw,Intermittent Fasting VLOG Daily Results 7/7/2021 Before and After,INTERMITTENT FASTING My intermittent fasting schedule sometimes change if I have an event coming up or have a dinner ...,2021-07-07T23:17:52Z,https://www.youtube.com/watch?v=loeQ_2hKgOc
NuEBX0S3jkg,UCeLyqsQfOtDccvNQShKuvZw,Intermittent Fasting VLOG Daily Results 7/22/21 Before and After,IAMALADY https://youtu.be/mNBHWDgvWqg KRISMA FRAZIER https://youtu.be/6mQB4kKv8uc INTERMITTENT FASTING My ...,2021-07-23T00:09:46Z,https://www.youtube.com/watch?v=NuEBX0S3jkg
x-KsEmpbpdY,UCVgkz9i800AuevAvNLIRcKw,My Eating Disorder Story | Exposing My Gymnastics Coaches *SHOCKING*,"TW: Eating disorders Today I'm covering a very hard topic, sharing my experiences with an eating disorder, being a gymnast (with ...",2021-11-10T18:00:10Z,https://www.youtube.com/watch?v=x-KsEmpbpdY
lKwN7ShllDs,UCp4LfMtDfoa29kTlLnqQ5Mg,ASMR Veggie Platter (EXTREME CRUNCHY EATING SOUNDS) No Talking | SAS-ASMR,SASVlogs https://www.youtube.com/channel/UCsluajeoBzy685Kwy1WEKpg All vlogs food related. Instagram: @SASitTUBE ...,2018-03-14T23:32:28Z,https://www.youtube.com/watch?v=lKwN7ShllDs
0xtfUdjy_74,UCiEpOW24W7i75uadLd-aOoQ,PENEMUAN BARU CEO GEPREK‼️ ASMR AYAM GEPREK DIET MANDI CABE RAWIT MERAH IJO🥵 | ASMR Indonesia,Gracious Healthy : Instagram https://www.instagram.com/gracioushealthy Food I ate are (Makanan yang saya makan ...,2022-07-22T10:30:00Z,https://www.youtube.com/watch?v=0xtfUdjy_74
OR4FLCBGn1o,UCDlqr98F9GF1eeYpHtXZA1Q,PESTA LALAPAN | MUKBANG LALAPAN MENTAH IKAN ASIN SAMBEL TERASI | MUKBANG ASMR,Watch in HD ! PESTA LALAPAN | MUKBANG LALAPAN MENTAH IKAN ASIN SAMBEL TERASI | MUKBANG ASMR __ ASMR ...,2021-10-27T09:30:13Z,https://www.youtube.com/watch?v=OR4FLCBGn1o
S_tdjur3_qk,UCqi7xixGSL6RD-_o5GeaR5w,ASMR Mukbang 1000+ Foods 1000가지 다른 음식을 먹어라 먹방,ASMR Mukbang 1000+ Foods 1000가지 다른 음식을 먹어라 먹방 #asmr #mukbang #eating #먹방 ▻ Subscribe OSV-ASMR to ...,2022-02-15T21:25:28Z,https://www.youtube.com/watch?v=S_tdjur3_qk
iFo4sjm07I8,UCrDOti43mZoxP2z9JeFNXtQ,how mukbangers eat around the WORLD,going international with all these mukbangs! follow my instagram @rachiies https://www.instagram.com/rachiies/ MY MERCH ...,2023-02-05T15:30:13Z,https://www.youtube.com/watch?v=iFo4sjm07I8
qfIW6dx946o,UCwqVnGnB6iTUtBx9ZuPk69Q,"ASMR MUKBANG ORANG CHINA KWAI , BIKIN GAGAL DIET!!!",Subsribe Youtube channel : https://www.youtube.com/channel/UCwqVnGnB6iTUtBx9ZuPk69Q • • • Thank you for watching and ...,2020-12-28T09:33:43Z,https://www.youtube.com/watch?v=qfIW6dx946o
